"Statistic Label","Quarter","Migration Flow","Age Group","Nationality","Migration Calculation Method","UNIT","VALUE"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","Brazil","Base migration calculation method","Number","549"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","Brazil","Base plus education migration calculation method","Number","543"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","India","Base migration calculation method","Number","1213"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","India","Base plus education migration calculation method","Number","1202"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","Ukraine","Base migration calculation method","Number","1694"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","Ukraine","Base plus education migration calculation method","Number","1694"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","All nationalities","Base migration calculation method","Number","11485"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","All nationalities","Base plus education migration calculation method","Number","11349"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","793"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","782"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1473"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1467"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","Other nationalities (3)","Base migration calculation method","Number","3088"
"Estimated migration flows","2023Q1","Inward migration - All","35 - 44 years","Other nationalities (3)","Base plus education migration calculation method","Number","3061"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","Ireland","Base migration calculation method","Number","5763"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","Ireland","Base plus education migration calculation method","Number","5660"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","809"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","799"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","Brazil","Base migration calculation method","Number","155"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","Brazil","Base plus education migration calculation method","Number","154"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","India","Base migration calculation method","Number","159"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","India","Base plus education migration calculation method","Number","159"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","Ukraine","Base migration calculation method","Number","2761"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","Ukraine","Base plus education migration calculation method","Number","2761"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","All nationalities","Base migration calculation method","Number","13736"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","All nationalities","Base plus education migration calculation method","Number","13595"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","659"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","654"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1362"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1359"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","Other nationalities (3)","Base migration calculation method","Number","2068"
"Estimated migration flows","2023Q1","Inward migration - All","45 years and over","Other nationalities (3)","Base plus education migration calculation method","Number","2049"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","Ireland","Base migration calculation method","Number","15373"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","Ireland","Base plus education migration calculation method","Number","13212"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","1882"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","1810"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","Brazil","Base migration calculation method","Number","2722"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","Brazil","Base plus education migration calculation method","Number","2715"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","India","Base migration calculation method","Number","5737"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","India","Base plus education migration calculation method","Number","5692"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","Ukraine","Base migration calculation method","Number","9180"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","Ukraine","Base plus education migration calculation method","Number","9176"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","All nationalities","Base migration calculation method","Number","61962"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","All nationalities","Base plus education migration calculation method","Number","59167"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","5950"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","5904"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","6781"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","6658"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","Other nationalities (3)","Base migration calculation method","Number","14337"
"Estimated migration flows","2023Q1","Inward migration - All","All ages","Other nationalities (3)","Base plus education migration calculation method","Number","14000"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","Ireland","Base migration calculation method","Number","9939"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","Ireland","Base plus education migration calculation method","Number","3556"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","282"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","163"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","Brazil","Base migration calculation method","Number","211"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","Brazil","Base plus education migration calculation method","Number","203"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","India","Base migration calculation method","Number","66"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","India","Base plus education migration calculation method","Number","33"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","Ukraine","Base migration calculation method","Number","244"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","Ukraine","Base plus education migration calculation method","Number","206"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","All nationalities","Base migration calculation method","Number","13766"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","All nationalities","Base plus education migration calculation method","Number","6241"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","677"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","602"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1237"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","957"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","Other nationalities (3)","Base migration calculation method","Number","1110"
"Estimated migration flows","2023Q1","Outward migration","0 - 24 years","Other nationalities (3)","Base plus education migration calculation method","Number","521"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","Ireland","Base migration calculation method","Number","7570"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","Ireland","Base plus education migration calculation method","Number","6965"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","374"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","360"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","Brazil","Base migration calculation method","Number","740"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","Brazil","Base plus education migration calculation method","Number","716"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","India","Base migration calculation method","Number","397"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","India","Base plus education migration calculation method","Number","377"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","Ukraine","Base migration calculation method","Number","296"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","Ukraine","Base plus education migration calculation method","Number","291"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","All nationalities","Base migration calculation method","Number","14362"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","All nationalities","Base plus education migration calculation method","Number","13533"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","1668"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","1614"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1796"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1760"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","Other nationalities (3)","Base migration calculation method","Number","1521"
"Estimated migration flows","2023Q1","Outward migration","25 - 34 years","Other nationalities (3)","Base plus education migration calculation method","Number","1450"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","Ireland","Base migration calculation method","Number","2553"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","Ireland","Base plus education migration calculation method","Number","2412"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","243"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","235"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","Brazil","Base migration calculation method","Number","334"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","Brazil","Base plus education migration calculation method","Number","325"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","India","Base migration calculation method","Number","200"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","India","Base plus education migration calculation method","Number","189"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","Ukraine","Base migration calculation method","Number","294"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","Ukraine","Base plus education migration calculation method","Number","289"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","All nationalities","Base migration calculation method","Number","7265"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","All nationalities","Base plus education migration calculation method","Number","6998"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","773"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","754"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1914"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1881"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","Other nationalities (3)","Base migration calculation method","Number","954"
"Estimated migration flows","2023Q1","Outward migration","35 - 44 years","Other nationalities (3)","Base plus education migration calculation method","Number","913"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","Ireland","Base migration calculation method","Number","5570"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","Ireland","Base plus education migration calculation method","Number","5401"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","697"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","681"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","Brazil","Base migration calculation method","Number","92"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","Brazil","Base plus education migration calculation method","Number","90"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","India","Base migration calculation method","Number","43"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","India","Base plus education migration calculation method","Number","43"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","Ukraine","Base migration calculation method","Number","286"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","Ukraine","Base plus education migration calculation method","Number","284"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","All nationalities","Base migration calculation method","Number","9638"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","All nationalities","Base plus education migration calculation method","Number","9390"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","510"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","498"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1405"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1395"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","Other nationalities (3)","Base migration calculation method","Number","1035"
"Estimated migration flows","2023Q1","Outward migration","45 years and over","Other nationalities (3)","Base plus education migration calculation method","Number","998"
"Estimated migration flows","2023Q1","Outward migration","All ages","Ireland","Base migration calculation method","Number","25632"
"Estimated migration flows","2023Q1","Outward migration","All ages","Ireland","Base plus education migration calculation method","Number","18334"
"Estimated migration flows","2023Q1","Outward migration","All ages","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","1596"
"Estimated migration flows","2023Q1","Outward migration","All ages","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","1439"
"Estimated migration flows","2023Q1","Outward migration","All ages","Brazil","Base migration calculation method","Number","1377"
"Estimated migration flows","2023Q1","Outward migration","All ages","Brazil","Base plus education migration calculation method","Number","1334"
"Estimated migration flows","2023Q1","Outward migration","All ages","India","Base migration calculation method","Number","706"
"Estimated migration flows","2023Q1","Outward migration","All ages","India","Base plus education migration calculation method","Number","642"
"Estimated migration flows","2023Q1","Outward migration","All ages","Ukraine","Base migration calculation method","Number","1120"
"Estimated migration flows","2023Q1","Outward migration","All ages","Ukraine","Base plus education migration calculation method","Number","1070"
"Estimated migration flows","2023Q1","Outward migration","All ages","All nationalities","Base migration calculation method","Number","45031"
"Estimated migration flows","2023Q1","Outward migration","All ages","All nationalities","Base plus education migration calculation method","Number","36162"
"Estimated migration flows","2023Q1","Outward migration","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","3628"
"Estimated migration flows","2023Q1","Outward migration","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","3468"
"Estimated migration flows","2023Q1","Outward migration","All ages","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","6352"
"Estimated migration flows","2023Q1","Outward migration","All ages","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","5993"
"Estimated migration flows","2023Q1","Outward migration","All ages","Other nationalities (3)","Base migration calculation method","Number","4620"
"Estimated migration flows","2023Q1","Outward migration","All ages","Other nationalities (3)","Base plus education migration calculation method","Number","3882"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","Ireland","Base migration calculation method","Number","-6043"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","Ireland","Base plus education migration calculation method","Number","-1384"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","111"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","181"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","Brazil","Base migration calculation method","Number","447"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","Brazil","Base plus education migration calculation method","Number","464"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","India","Base migration calculation method","Number","1578"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","India","Base plus education migration calculation method","Number","1597"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","Ukraine","Base migration calculation method","Number","2859"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","Ukraine","Base plus education migration calculation method","Number","2893"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","All nationalities","Base migration calculation method","Number","4026"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","All nationalities","Base plus education migration calculation method","Number","9407"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","1641"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","1707"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","762"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","942"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","Other nationalities (3)","Base migration calculation method","Number","2671"
"Estimated migration flows","2023Q1","Net migration","0 - 24 years","Other nationalities (3)","Base plus education migration calculation method","Number","3007"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","Ireland","Base migration calculation method","Number","-4241"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","Ireland","Base plus education migration calculation method","Number","-3898"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","16"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","20"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","Brazil","Base migration calculation method","Number","620"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","Brazil","Base plus education migration calculation method","Number","635"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","India","Base migration calculation method","Number","2324"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","India","Base plus education migration calculation method","Number","2324"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","Ukraine","Base migration calculation method","Number","1326"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","Ukraine","Base plus education migration calculation method","Number","1331"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","All nationalities","Base migration calculation method","Number","4587"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","All nationalities","Base plus education migration calculation method","Number","5042"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","512"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","545"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","151"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","173"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","Other nationalities (3)","Base migration calculation method","Number","3879"
"Estimated migration flows","2023Q1","Net migration","25 - 34 years","Other nationalities (3)","Base plus education migration calculation method","Number","3912"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","Ireland","Base migration calculation method","Number","-168"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","Ireland","Base plus education migration calculation method","Number","-99"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","47"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","52"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","Brazil","Base migration calculation method","Number","215"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","Brazil","Base plus education migration calculation method","Number","218"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","India","Base migration calculation method","Number","1013"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","India","Base plus education migration calculation method","Number","1013"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","Ukraine","Base migration calculation method","Number","1400"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","Ukraine","Base plus education migration calculation method","Number","1405"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","All nationalities","Base migration calculation method","Number","4220"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","All nationalities","Base plus education migration calculation method","Number","4351"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","20"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","28"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","-441"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","-414"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","Other nationalities (3)","Base migration calculation method","Number","2134"
"Estimated migration flows","2023Q1","Net migration","35 - 44 years","Other nationalities (3)","Base plus education migration calculation method","Number","2148"
"Estimated migration flows","2023Q1","Net migration","45 years and over","Ireland","Base migration calculation method","Number","193"
"Estimated migration flows","2023Q1","Net migration","45 years and over","Ireland","Base plus education migration calculation method","Number","259"
"Estimated migration flows","2023Q1","Net migration","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","112"
"Estimated migration flows","2023Q1","Net migration","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","118"
"Estimated migration flows","2023Q1","Net migration","45 years and over","Brazil","Base migration calculation method","Number","63"
"Estimated migration flows","2023Q1","Net migration","45 years and over","Brazil","Base plus education migration calculation method","Number","64"
"Estimated migration flows","2023Q1","Net migration","45 years and over","India","Base migration calculation method","Number","116"
"Estimated migration flows","2023Q1","Net migration","45 years and over","India","Base plus education migration calculation method","Number","116"
"Estimated migration flows","2023Q1","Net migration","45 years and over","Ukraine","Base migration calculation method","Number","2475"
"Estimated migration flows","2023Q1","Net migration","45 years and over","Ukraine","Base plus education migration calculation method","Number","2477"
"Estimated migration flows","2023Q1","Net migration","45 years and over","All nationalities","Base migration calculation method","Number","4098"
"Estimated migration flows","2023Q1","Net migration","45 years and over","All nationalities","Base plus education migration calculation method","Number","4205"
"Estimated migration flows","2023Q1","Net migration","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","149"
"Estimated migration flows","2023Q1","Net migration","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","156"
"Estimated migration flows","2023Q1","Net migration","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","-43"
"Estimated migration flows","2023Q1","Net migration","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","-36"
"Estimated migration flows","2023Q1","Net migration","45 years and over","Other nationalities (3)","Base migration calculation method","Number","1033"
"Estimated migration flows","2023Q1","Net migration","45 years and over","Other nationalities (3)","Base plus education migration calculation method","Number","1051"
"Estimated migration flows","2023Q1","Net migration","All ages","Ireland","Base migration calculation method","Number","-10259"
"Estimated migration flows","2023Q1","Net migration","All ages","Ireland","Base plus education migration calculation method","Number","-5122"
"Estimated migration flows","2023Q1","Net migration","All ages","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","286"
"Estimated migration flows","2023Q1","Net migration","All ages","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","371"
"Estimated migration flows","2023Q1","Net migration","All ages","Brazil","Base migration calculation method","Number","1345"
"Estimated migration flows","2023Q1","Net migration","All ages","Brazil","Base plus education migration calculation method","Number","1381"
"Estimated migration flows","2023Q1","Net migration","All ages","India","Base migration calculation method","Number","5031"
"Estimated migration flows","2023Q1","Net migration","All ages","India","Base plus education migration calculation method","Number","5050"
"Estimated migration flows","2023Q1","Net migration","All ages","Ukraine","Base migration calculation method","Number","8060"
"Estimated migration flows","2023Q1","Net migration","All ages","Ukraine","Base plus education migration calculation method","Number","8106"
"Estimated migration flows","2023Q1","Net migration","All ages","All nationalities","Base migration calculation method","Number","16931"
"Estimated migration flows","2023Q1","Net migration","All ages","All nationalities","Base plus education migration calculation method","Number","23005"
"Estimated migration flows","2023Q1","Net migration","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","2322"
"Estimated migration flows","2023Q1","Net migration","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","2436"
"Estimated migration flows","2023Q1","Net migration","All ages","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","429"
"Estimated migration flows","2023Q1","Net migration","All ages","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","665"
"Estimated migration flows","2023Q1","Net migration","All ages","Other nationalities (3)","Base migration calculation method","Number","9717"
"Estimated migration flows","2023Q1","Net migration","All ages","Other nationalities (3)","Base plus education migration calculation method","Number","10118"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","Ireland","Base migration calculation method","Number","8042"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","Ireland","Base plus education migration calculation method","Number","2262"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","523"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","383"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","Brazil","Base migration calculation method","Number","950"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","Brazil","Base plus education migration calculation method","Number","944"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","India","Base migration calculation method","Number","1467"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","India","Base plus education migration calculation method","Number","1432"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","Ukraine","Base migration calculation method","Number","2176"
"Estimated migration flows","2023Q2","Inward migration - All","0 - 24 years","Ukraine","Base plus education migration calculation method","Number","2148"
