"Statistic Label","Quarter","Migration Flow","Age Group","Nationality","Migration Calculation Method","UNIT","VALUE"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","Ukraine","Base plus education migration calculation method","Number","2862"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","All nationalities","Base migration calculation method","Number","12465"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","All nationalities","Base plus education migration calculation method","Number","12253"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","875"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","870"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1554"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1541"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","Other nationalities (3)","Base migration calculation method","Number","2665"
"Estimated migration flows","2022Q3","Inward migration - All","35 - 44 years","Other nationalities (3)","Base plus education migration calculation method","Number","2649"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","Ireland","Base migration calculation method","Number","5204"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","Ireland","Base plus education migration calculation method","Number","5072"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","719"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","706"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","Brazil","Base migration calculation method","Number","215"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","Brazil","Base plus education migration calculation method","Number","215"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","India","Base migration calculation method","Number","145"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","India","Base plus education migration calculation method","Number","144"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","Ukraine","Base migration calculation method","Number","3736"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","Ukraine","Base plus education migration calculation method","Number","3735"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","All nationalities","Base migration calculation method","Number","13717"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","All nationalities","Base plus education migration calculation method","Number","13538"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","708"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","702"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","1263"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","1254"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","Other nationalities (3)","Base migration calculation method","Number","1727"
"Estimated migration flows","2022Q3","Inward migration - All","45 years and over","Other nationalities (3)","Base plus education migration calculation method","Number","1710"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","Ireland","Base migration calculation method","Number","18797"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","Ireland","Base plus education migration calculation method","Number","13066"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","2130"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","2048"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","Brazil","Base migration calculation method","Number","4010"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","Brazil","Base plus education migration calculation method","Number","4012"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","India","Base migration calculation method","Number","5308"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","India","Base plus education migration calculation method","Number","5340"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","Ukraine","Base migration calculation method","Number","13543"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","Ukraine","Base plus education migration calculation method","Number","13705"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","All nationalities","Base migration calculation method","Number","71823"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","All nationalities","Base plus education migration calculation method","Number","65570"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","6613"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","6671"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","7665"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","7433"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","Other nationalities (3)","Base migration calculation method","Number","13757"
"Estimated migration flows","2022Q3","Inward migration - All","All ages","Other nationalities (3)","Base plus education migration calculation method","Number","13295"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","Ireland","Base migration calculation method","Number","5213"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","Ireland","Base plus education migration calculation method","Number","2984"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","229"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","162"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","Brazil","Base migration calculation method","Number","74"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","Brazil","Base plus education migration calculation method","Number","67"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","India","Base migration calculation method","Number","57"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","India","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","Ukraine","Base migration calculation method","Number","3"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","Ukraine","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","All nationalities","Base migration calculation method","Number","7944"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","All nationalities","Base plus education migration calculation method","Number","5214"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","796"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","750"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","992"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","EU15 to EU27 (accession countries joined post 2004)","Base plus education migration calculation method","Number","879"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","Other nationalities (3)","Base migration calculation method","Number","580"
"Estimated migration flows","2022Q3","Outward migration","0 - 24 years","Other nationalities (3)","Base plus education migration calculation method","Number","330"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","Ireland","Base migration calculation method","Number","5467"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","Ireland","Base plus education migration calculation method","Number","5150"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base migration calculation method","Number","398"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","United Kingdom of Great Britain and Northern Ireland","Base plus education migration calculation method","Number","388"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","Brazil","Base migration calculation method","Number","491"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","Brazil","Base plus education migration calculation method","Number","480"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","India","Base migration calculation method","Number","300"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","India","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","Ukraine","Base migration calculation method","Number","7"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","Ukraine","Base plus education migration calculation method","Number",""
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","All nationalities","Base migration calculation method","Number","11423"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","All nationalities","Base plus education migration calculation method","Number","10985"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base migration calculation method","Number","1693"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Base plus education migration calculation method","Number","1665"
"Estimated migration flows","2022Q3","Outward migration","25 - 34 years","EU15 to EU27 (accession countries joined post 2004)","Base migration calculation method","Number","2068"
