"Statistic Label","Census Year","Sex","Religion","Towns by Size","UNIT","VALUE"
"Population","2022","Both sexes","All religions","Tullow, Co Carlow","Number","5138"
"Population","2022","Both sexes","All religions","Carlow, Counties Carlow & Laois","Number","27351"
"Population","2022","Both sexes","All religions","Muinebeag (Bagenalstown), Co Carlow","Number","2945"
"Population","2022","Both sexes","All religions","Dublin city and suburbs, Counties Dublin & Meath","Number","1263219"
"Population","2022","Both sexes","All religions","Saggart, Co Dublin","Number","4573"
"Population","2022","Both sexes","All religions","Rathcoole, Co Dublin","Number","5792"
"Population","2022","Both sexes","All religions","Newcastle, Co Dublin","Number","4526"
"Population","2022","Both sexes","All religions","Rush, Co Dublin","Number","10875"
"Population","2022","Both sexes","All religions","Skerries, Co Dublin","Number","10743"
"Population","2022","Both sexes","All religions","Portmarnock, Co Dublin","Number","10750"
"Population","2022","Both sexes","All religions","Donabate, Co Dublin","Number","9669"
"Population","2022","Both sexes","All religions","Malahide, Co Dublin","Number","18608"
"Population","2022","Both sexes","All religions","Lusk, Co Dublin","Number","8806"
"Population","2022","Both sexes","All religions","Balrothery, Co Dublin","Number","2282"
"Population","2022","Both sexes","All religions","Balbriggan, Co Dublin","Number","24322"
"Population","2022","Both sexes","All religions","Kinsealy-Drinan, Co Dublin","Number","7526"
"Population","2022","Both sexes","All religions","Swords, Co Dublin","Number","40776"
"Population","2022","Both sexes","All religions","Leixlip, Co Kildare","Number","16733"
"Population","2022","Both sexes","All religions","Celbridge, Co Kildare","Number","20601"
"Population","2022","Both sexes","All religions","Kill, Co Kildare","Number","3818"
"Population","2022","Both sexes","All religions","Maynooth, Co Kildare","Number","17259"
"Population","2022","Both sexes","All religions","Naas, Co Kildare","Number","26180"
"Population","2022","Both sexes","All religions","Sallins, Co Kildare","Number","6269"
"Population","2022","Both sexes","All religions","Kilcock, Counties Kildare & Meath","Number","8674"
"Population","2022","Both sexes","All religions","Clane, Co Kildare","Number","8152"
"Population","2022","Both sexes","All religions","Kilcullen, Co Kildare","Number","3815"
"Population","2022","Both sexes","All religions","Prosperous, Co Kildare","Number","2413"
"Population","2022","Both sexes","All religions","Newbridge, Co Kildare","Number","24366"
"Population","2022","Both sexes","All religions","Castledermot, Co Kildare","Number","1685"
"Population","2022","Both sexes","All religions","Allenwood, Co Kildare","Number","1685"
"Population","2022","Both sexes","All religions","Kildare, Co Kildare","Number","10302"
"Population","2022","Both sexes","All religions","Derrinturn, Co Kildare","Number","1837"
"Population","2022","Both sexes","All religions","Athy, Co Kildare","Number","11035"
"Population","2022","Both sexes","All religions","Rathangan, Co Kildare","Number","3263"
"Population","2022","Both sexes","All religions","Monasterevin, Co Kildare","Number","5307"
"Population","2022","Both sexes","All religions","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Number","1506"
"Population","2022","Both sexes","All religions","Thomastown, Co Kilkenny","Number","2305"
"Population","2022","Both sexes","All religions","Kilkenny, Co Kilkenny","Number","27184"
"Population","2022","Both sexes","All religions","Callan, Co Kilkenny","Number","2678"
"Population","2022","Both sexes","All religions","Portarlington, Counties Laois & Offaly","Number","9288"
"Population","2022","Both sexes","All religions","Portlaoise, Co Laois","Number","23494"
"Population","2022","Both sexes","All religions","Mountmellick, Co Laois","Number","4905"
"Population","2022","Both sexes","All religions","Abbeyleix, Co Laois","Number","1897"
"Population","2022","Both sexes","All religions","Mountrath, Co Laois","Number","2070"
"Population","2022","Both sexes","All religions","Edgeworthstown, Co Longford","Number","2199"
"Population","2022","Both sexes","All religions","Ballymahon, Co Longford","Number","1714"
"Population","2022","Both sexes","All religions","Longford, Co Longford","Number","10952"
"Population","2022","Both sexes","All religions","Lanesborough-Ballyleague, Counties Roscommon & Longford","Number","1733"
"Population","2022","Both sexes","All religions","Carlingford, Co Louth","Number","1528"
"Population","2022","Both sexes","All religions","Clogherhead, Co Louth","Number","2275"
"Population","2022","Both sexes","All religions","Termonfeckin, Co Louth","Number","1983"
"Population","2022","Both sexes","All religions","Drogheda, Counties Louth & Meath","Number","44135"
"Population","2022","Both sexes","All religions","Dunleer, Co Louth","Number","2143"
"Population","2022","Both sexes","All religions","Dundalk, Co Louth","Number","43112"
"Population","2022","Both sexes","All religions","Tullyallen, Co Louth","Number","1697"
"Population","2022","Both sexes","All religions","Ardee, Co Louth","Number","5478"
"Population","2022","Both sexes","All religions","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Number","15642"
"Population","2022","Both sexes","All religions","Stamullen, Co Meath","Number","3720"
"Population","2022","Both sexes","All religions","Ashbourne, Co Meath","Number","15680"
"Population","2022","Both sexes","All religions","Duleek, Co Meath","Number","4899"
"Population","2022","Both sexes","All religions","Ratoath, Co Meath","Number","10077"
"Population","2022","Both sexes","All religions","Dunboyne, Co Meath","Number","7155"
"Population","2022","Both sexes","All religions","Dunshaughlin, Co Meath","Number","6644"
"Population","2022","Both sexes","All religions","Navan, Co Meath","Number","33886"
"Population","2022","Both sexes","All religions","Trim, Co Meath","Number","9563"
"Population","2022","Both sexes","All religions","Enfield, Co Meath","Number","3663"
"Population","2022","Both sexes","All religions","Kells, Co Meath","Number","6608"
"Population","2022","Both sexes","All religions","Athboy, Co Meath","Number","2596"
"Population","2022","Both sexes","All religions","Longwood, Co Meath","Number","1685"
"Population","2022","Both sexes","All religions","Ballivor, Co Meath","Number","1870"
"Population","2022","Both sexes","All religions","Edenderry, Co Offaly","Number","7888"
"Population","2022","Both sexes","All religions","Tullamore, Co Offaly","Number","15598"
"Population","2022","Both sexes","All religions","Clara, Co Offaly","Number","3403"
"Population","2022","Both sexes","All religions","Birr, Co Offaly","Number","4726"
"Population","2022","Both sexes","All religions","Banagher, Co Offaly","Number","1907"
"Population","2022","Both sexes","All religions","Kinnegad, Co Westmeath","Number","3064"
"Population","2022","Both sexes","All religions","Killucan-Rathwire, Co Westmeath","Number","1574"
"Population","2022","Both sexes","All religions","Mullingar, Co Westmeath","Number","22667"
"Population","2022","Both sexes","All religions","Kilbeggan, Co Westmeath","Number","1575"
"Population","2022","Both sexes","All religions","Moate, Co Westmeath","Number","3013"
"Population","2022","Both sexes","All religions","Athlone, Counties Westmeath & Roscommon","Number","22869"
"Population","2022","Both sexes","All religions","Courtown, Co Wexford","Number","4365"
"Population","2022","Both sexes","All religions","Gorey, Co Wexford","Number","11517"
"Population","2022","Both sexes","All religions","Rosslare Harbour, Co Wexford","Number","2247"
"Population","2022","Both sexes","All religions","Rosslare, Co Wexford","Number","1795"
"Population","2022","Both sexes","All religions","Castlebridge, Co Wexford","Number","1850"
"Population","2022","Both sexes","All religions","Wexford, Co Wexford","Number","21524"
"Population","2022","Both sexes","All religions","Enniscorthy, Co Wexford","Number","12310"
"Population","2022","Both sexes","All religions","Bunclody, Counties Wexford & Carlow","Number","2053"
"Population","2022","Both sexes","All religions","New Ross, Wexford & Kilkenny","Number","8610"
"Population","2022","Both sexes","All religions","Wicklow, Co Wicklow","Number","12957"
"Population","2022","Both sexes","All religions","Kilcoole, Co Wicklow","Number","4569"
"Population","2022","Both sexes","All religions","Greystones-Delgany, Co Wicklow","Number","22009"
"Population","2022","Both sexes","All religions","Rathnew, Co Wicklow","Number","3482"
"Population","2022","Both sexes","All religions","Newtownmountkennedy, Co Wicklow","Number","3539"
"Population","2022","Both sexes","All religions","Ashford, Co Wicklow","Number","1892"
"Population","2022","Both sexes","All religions","Bray, Counties Wicklow & Dublin","Number","33512"
"Population","2022","Both sexes","All religions","Arklow, Co Wicklow","Number","13399"
"Population","2022","Both sexes","All religions","Enniskerry, Co Wicklow","Number","2000"
"Population","2022","Both sexes","All religions","Rathdrum, Co Wicklow","Number","2264"
"Population","2022","Both sexes","All religions","Blessington, Counties Wicklow & Kildare","Number","5611"
"Population","2022","Both sexes","All religions","Baltinglass, Co Wicklow","Number","2611"
"Population","2022","Both sexes","All religions","Killaloe, Co Clare","Number","1666"
"Population","2022","Both sexes","All religions","Sixmilebridge, Co Clare","Number","2832"
"Population","2022","Both sexes","All religions","Shannon, Co Clare","Number","10256"
"Population","2022","Both sexes","All religions","Newmarket-On-Fergus, Co Clare","Number","1887"
"Population","2022","Both sexes","All religions","Ennis, Co Clare","Number","27923"
"Population","2022","Both sexes","All religions","Kilrush, Co Clare","Number","2649"
"Population","2022","Both sexes","All religions","Cork city and suburbs, Co Cork","Number","222526"
"Population","2022","Both sexes","All religions","Blarney, Co Cork","Number","2779"
"Population","2022","Both sexes","All religions","Tower, Co Cork","Number","3300"
"Population","2022","Both sexes","All religions","Youghal, Co Cork","Number","8564"
"Population","2022","Both sexes","All religions","Castlemartyr, Co Cork","Number","1603"
"Population","2022","Both sexes","All religions","Cloyne, Co Cork","Number","1967"
"Population","2022","Both sexes","All religions","Midleton, Co Cork","Number","13906"
"Population","2022","Both sexes","All religions","Mitchelstown, Co Cork","Number","3744"
"Population","2022","Both sexes","All religions","Carrigtwohill, Co Cork","Number","5568"
"Population","2022","Both sexes","All religions","Fermoy, Co Cork","Number","6720"
"Population","2022","Both sexes","All religions","Rathcormac, Co Cork","Number","1957"
"Population","2022","Both sexes","All religions","Crosshaven, Co Cork","Number","3263"
"Population","2022","Both sexes","All religions","Cobh, Co Cork","Number","14148"
"Population","2022","Both sexes","All religions","Passage West-Monkstown, Co Cork","Number","6051"
"Population","2022","Both sexes","All religions","Watergrasshill, Co Cork","Number","1840"
"Population","2022","Both sexes","All religions","Carrigaline, Co Cork","Number","18239"
"Population","2022","Both sexes","All religions","Kinsale, Co Cork","Number","5991"
"Population","2022","Both sexes","All religions","Mallow, Co Cork","Number","13456"
"Population","2022","Both sexes","All religions","Charleville, Co Cork","Number","3970"
"Population","2022","Both sexes","All religions","Bandon, Co Cork","Number","8196"
"Population","2022","Both sexes","All religions","Clonakilty, Co Cork","Number","5112"
"Population","2022","Both sexes","All religions","Kanturk, Co Cork","Number","2803"
"Population","2022","Both sexes","All religions","Macroom, Co Cork","Number","4096"
"Population","2022","Both sexes","All religions","Millstreet, Co Cork","Number","1722"
"Population","2022","Both sexes","All religions","Dunmanway, Co Cork","Number","1964"
"Population","2022","Both sexes","All religions","Skibbereen, Co Cork","Number","2903"
"Population","2022","Both sexes","All religions","Bantry, Co Cork","Number","2929"
"Population","2022","Both sexes","All religions","Castleisland, Co Kerry","Number","2536"
"Population","2022","Both sexes","All religions","Listowel, Co Kerry","Number","4794"
"Population","2022","Both sexes","All religions","Killarney, Co Kerry","Number","14412"
"Population","2022","Both sexes","All religions","Kenmare, Co Kerry","Number","2566"
"Population","2022","Both sexes","All religions","Ballybunion, Co Kerry","Number","1618"
"Population","2022","Both sexes","All religions","Tralee, Co Kerry","Number","26079"
"Population","2022","Both sexes","All religions","Killorglin, Co Kerry","Number","2163"
"Population","2022","Both sexes","All religions","Dingle-Daingean Uí Chuis, Co Kerry","Number","1671"
"Population","2022","Both sexes","All religions","Limerick city and suburbs, Counties Limerick & Clare","Number","102287"
"Population","2022","Both sexes","All religions","Caherconlish, Co Limerick","Number","1569"
"Population","2022","Both sexes","All religions","Castleconnell, Co Limerick","Number","2488"
"Population","2022","Both sexes","All religions","Annacotty, Co Limerick","Number","3398"
"Population","2022","Both sexes","All religions","Kilmallock, Co Limerick","Number","1761"
"Population","2022","Both sexes","All religions","Newcastle West, Co Limerick","Number","7209"
"Population","2022","Both sexes","All religions","Abbeyfeale, Co Limerick","Number","2206"
"Population","2022","Both sexes","All religions","Roscrea, Co Tipperary","Number","5542"
"Population","2022","Both sexes","All religions","Thurles, Co Tipperary","Number","8185"
"Population","2022","Both sexes","All religions","Templemore, Co Tipperary","Number","2005"
"Population","2022","Both sexes","All religions","Nenagh, Co Tipperary","Number","9895"
"Population","2022","Both sexes","All religions","Newport, Co Tipperary","Number","2183"
"Population","2022","Both sexes","All religions","Ballina, Co Tipperary","Number","2959"
"Population","2022","Both sexes","All religions","Carrick-on-Suir, Co Tipperary","Number","5752"
"Population","2022","Both sexes","All religions","Fethard, Co Tipperary","Number","1738"
"Population","2022","Both sexes","All religions","Clonmel, Counties Tipperary & Waterford","Number","18369"
"Population","2022","Both sexes","All religions","Cashel, Co Tipperary","Number","4805"
"Population","2022","Both sexes","All religions","Cahir, Co Tipperary","Number","3679"
"Population","2022","Both sexes","All religions","Tipperary, Co Tipperary","Number","5387"
"Population","2022","Both sexes","All religions","Waterford city and suburbs, Counties Waterford & Kilkenny","Number","60079"
"Population","2022","Both sexes","All religions","Dunmore East, Co Waterford","Number","1731"
"Population","2022","Both sexes","All religions","Tramore, Co Waterford","Number","11277"
"Population","2022","Both sexes","All religions","Portlaw, Co Waterford","Number","1881"
"Population","2022","Both sexes","All religions","Dungarvan, Co Waterford","Number","10081"
"Population","2022","Both sexes","All religions","Galway city and suburbs, Co Galway","Number","85910"
"Population","2022","Both sexes","All religions","Ballinasloe, Co Galway","Number","6597"
"Population","2022","Both sexes","All religions","Portumna, Co Galway","Number","1690"
"Population","2022","Both sexes","All religions","Loughrea, Co Galway","Number","6322"
"Population","2022","Both sexes","All religions","Athenry, Co Galway","Number","4603"
"Population","2022","Both sexes","All religions","Gort, Co Galway","Number","2870"
"Population","2022","Both sexes","All religions","Tuam, Co Galway","Number","9647"
"Population","2022","Both sexes","All religions","Oranmore, Co Galway","Number","5819"
"Population","2022","Both sexes","All religions","Baile Chláir, Co Galway","Number","1632"
"Population","2022","Both sexes","All religions","Bearna, Co Galway","Number","2336"
"Population","2022","Both sexes","All religions","Maigh Cuilinn, Co Galway","Number","2279"
"Population","2022","Both sexes","All religions","Oughterard, Co Galway","Number","1846"
"Population","2022","Both sexes","All religions","Carrick-On-Shannon, Counties Leitrim & Roscommon","Number","4743"
"Population","2022","Both sexes","All religions","Manorhamilton, Co Leitrim","Number","1667"
"Population","2022","Both sexes","All religions","Ballyhaunis, Co Mayo","Number","2773"
"Population","2022","Both sexes","All religions","Claremorris, Co Mayo","Number","3857"
"Population","2022","Both sexes","All religions","Ballina, Co Mayo","Number","10556"
"Population","2022","Both sexes","All religions","Ballinrobe, Co Mayo","Number","3148"
"Population","2022","Both sexes","All religions","Castlebar, Co Mayo","Number","13054"
"Population","2022","Both sexes","All religions","Westport, Co Mayo","Number","6872"
"Population","2022","Both sexes","All religions","Roscommon, Co Roscommon","Number","6555"
"Population","2022","Both sexes","All religions","Boyle, Co Roscommon","Number","2915"
"Population","2022","Both sexes","All religions","Castlerea, Co Roscommon","Number","2348"
"Population","2022","Both sexes","All religions","Ballaghaderreen, Co Roscommon","Number","2387"
"Population","2022","Both sexes","All religions","Sligo, Co Sligo","Number","20608"
"Population","2022","Both sexes","All religions","Collooney, Co Sligo","Number","1797"
"Population","2022","Both sexes","All religions","Ballysadare, Co Sligo","Number","1747"
"Population","2022","Both sexes","All religions","Ballymote, Co Sligo","Number","1711"
"Population","2022","Both sexes","All religions","Strandhill, Co Sligo","Number","1982"
"Population","2022","Both sexes","All religions","Tubbercurry, Co Sligo","Number","2307"
"Population","2022","Both sexes","All religions","Kingscourt, Co Cavan","Number","2955"
"Population","2022","Both sexes","All religions","Mullagh, Co Cavan","Number","1651"
"Population","2022","Both sexes","All religions","Bailieborough, Co Cavan","Number","2974"
"Population","2022","Both sexes","All religions","Virginia, Co Cavan","Number","3211"
"Population","2022","Both sexes","All religions","Cootehill, Co Cavan","Number","1856"
"Population","2022","Both sexes","All religions","Ballyjamesduff, Co Cavan","Number","2917"
"Population","2022","Both sexes","All religions","Cavan, Co Cavan","Number","11741"
"Population","2022","Both sexes","All religions","Belturbet, Co Cavan","Number","1610"
"Population","2022","Both sexes","All religions","Carndonagh, Co Donegal","Number","2768"
"Population","2022","Both sexes","All religions","Buncrana, Co Donegal","Number","6971"
"Population","2022","Both sexes","All religions","Lifford, Co Donegal","Number","1613"
"Population","2022","Both sexes","All religions","Convoy, Co Donegal","Number","1702"
"Population","2022","Both sexes","All religions","Letterkenny, Co Donegal","Number","22549"
"Population","2022","Both sexes","All religions","Ballybofey-Stranorlar, Co Donegal","Number","5406"
"Population","2022","Both sexes","All religions","Donegal, Co Donegal","Number","2749"
"Population","2022","Both sexes","All religions","Ballyshannon, Co Donegal","Number","2246"
"Population","2022","Both sexes","All religions","Bundoran, Co Donegal","Number","2599"
"Population","2022","Both sexes","All religions","Carrickmacross, Co Monaghan","Number","5745"
"Population","2022","Both sexes","All religions","Castleblayney, Co Monaghan","Number","3926"
"Population","2022","Both sexes","All religions","Monaghan, Co Monaghan","Number","7894"
"Population","2022","Both sexes","All religions","Clones, Co Monaghan","Number","1885"
"Population","2022","Both sexes","All religions","State","Number","5149139"
"Population","2022","Both sexes","All religions","Other towns with a population between 1,000 - 1,499","Number","107434"
"Population","2022","Both sexes","All religions","Other towns with a population under 500","Number","110857"
"Population","2022","Both sexes","All religions","Other towns with a population between 500 - 999","Number","132170"
"Population","2022","Both sexes","All religions","Remainder of country","Number","1518638"
"Population","2022","Both sexes","Roman Catholic","Tullow, Co Carlow","Number","3671"
"Population","2022","Both sexes","Roman Catholic","Carlow, Counties Carlow & Laois","Number","17788"
"Population","2022","Both sexes","Roman Catholic","Muinebeag (Bagenalstown), Co Carlow","Number","2413"
"Population","2022","Both sexes","Roman Catholic","Dublin city and suburbs, Counties Dublin & Meath","Number","713941"
"Population","2022","Both sexes","Roman Catholic","Saggart, Co Dublin","Number","1726"
"Population","2022","Both sexes","Roman Catholic","Rathcoole, Co Dublin","Number","3743"
"Population","2022","Both sexes","Roman Catholic","Newcastle, Co Dublin","Number","2793"
"Population","2022","Both sexes","Roman Catholic","Rush, Co Dublin","Number","7336"
"Population","2022","Both sexes","Roman Catholic","Skerries, Co Dublin","Number","7113"
"Population","2022","Both sexes","Roman Catholic","Portmarnock, Co Dublin","Number","7581"
"Population","2022","Both sexes","Roman Catholic","Donabate, Co Dublin","Number","6136"
"Population","2022","Both sexes","Roman Catholic","Malahide, Co Dublin","Number","12752"
"Population","2022","Both sexes","Roman Catholic","Lusk, Co Dublin","Number","5682"
"Population","2022","Both sexes","Roman Catholic","Balrothery, Co Dublin","Number","1390"
"Population","2022","Both sexes","Roman Catholic","Balbriggan, Co Dublin","Number","14048"
"Population","2022","Both sexes","Roman Catholic","Kinsealy-Drinan, Co Dublin","Number","4388"
"Population","2022","Both sexes","Roman Catholic","Swords, Co Dublin","Number","25856"
"Population","2022","Both sexes","Roman Catholic","Leixlip, Co Kildare","Number","11076"
"Population","2022","Both sexes","Roman Catholic","Celbridge, Co Kildare","Number","13285"
"Population","2022","Both sexes","Roman Catholic","Kill, Co Kildare","Number","2972"
"Population","2022","Both sexes","Roman Catholic","Maynooth, Co Kildare","Number","9851"
"Population","2022","Both sexes","Roman Catholic","Naas, Co Kildare","Number","17576"
"Population","2022","Both sexes","Roman Catholic","Sallins, Co Kildare","Number","4193"
"Population","2022","Both sexes","Roman Catholic","Kilcock, Counties Kildare & Meath","Number","5583"
"Population","2022","Both sexes","Roman Catholic","Clane, Co Kildare","Number","5643"
"Population","2022","Both sexes","Roman Catholic","Kilcullen, Co Kildare","Number","2756"
"Population","2022","Both sexes","Roman Catholic","Prosperous, Co Kildare","Number","1786"
"Population","2022","Both sexes","Roman Catholic","Newbridge, Co Kildare","Number","16871"
"Population","2022","Both sexes","Roman Catholic","Castledermot, Co Kildare","Number","1220"
"Population","2022","Both sexes","Roman Catholic","Allenwood, Co Kildare","Number","1321"
"Population","2022","Both sexes","Roman Catholic","Kildare, Co Kildare","Number","6662"
"Population","2022","Both sexes","Roman Catholic","Derrinturn, Co Kildare","Number","1382"
"Population","2022","Both sexes","Roman Catholic","Athy, Co Kildare","Number","7501"
"Population","2022","Both sexes","Roman Catholic","Rathangan, Co Kildare","Number","2371"
"Population","2022","Both sexes","Roman Catholic","Monasterevin, Co Kildare","Number","3772"
"Population","2022","Both sexes","Roman Catholic","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Number","1113"
"Population","2022","Both sexes","Roman Catholic","Thomastown, Co Kilkenny","Number","1639"
"Population","2022","Both sexes","Roman Catholic","Kilkenny, Co Kilkenny","Number","18431"
"Population","2022","Both sexes","Roman Catholic","Callan, Co Kilkenny","Number","1909"
"Population","2022","Both sexes","Roman Catholic","Portarlington, Counties Laois & Offaly","Number","6516"
"Population","2022","Both sexes","Roman Catholic","Portlaoise, Co Laois","Number","14838"
"Population","2022","Both sexes","Roman Catholic","Mountmellick, Co Laois","Number","3801"
"Population","2022","Both sexes","Roman Catholic","Abbeyleix, Co Laois","Number","1381"
"Population","2022","Both sexes","Roman Catholic","Mountrath, Co Laois","Number","1482"
"Population","2022","Both sexes","Roman Catholic","Edgeworthstown, Co Longford","Number","1189"
"Population","2022","Both sexes","Roman Catholic","Ballymahon, Co Longford","Number","1053"
"Population","2022","Both sexes","Roman Catholic","Longford, Co Longford","Number","7016"
"Population","2022","Both sexes","Roman Catholic","Lanesborough-Ballyleague, Counties Roscommon & Longford","Number","1268"
"Population","2022","Both sexes","Roman Catholic","Carlingford, Co Louth","Number","1061"
"Population","2022","Both sexes","Roman Catholic","Clogherhead, Co Louth","Number","1767"
"Population","2022","Both sexes","Roman Catholic","Termonfeckin, Co Louth","Number","1460"
"Population","2022","Both sexes","Roman Catholic","Drogheda, Counties Louth & Meath","Number","29053"
"Population","2022","Both sexes","Roman Catholic","Dunleer, Co Louth","Number","1653"
"Population","2022","Both sexes","Roman Catholic","Dundalk, Co Louth","Number","28529"
"Population","2022","Both sexes","Roman Catholic","Tullyallen, Co Louth","Number","1303"
"Population","2022","Both sexes","Roman Catholic","Ardee, Co Louth","Number","4101"
"Population","2022","Both sexes","Roman Catholic","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Number","10424"
"Population","2022","Both sexes","Roman Catholic","Stamullen, Co Meath","Number","2740"
"Population","2022","Both sexes","Roman Catholic","Ashbourne, Co Meath","Number","9902"
"Population","2022","Both sexes","Roman Catholic","Duleek, Co Meath","Number","3520"
"Population","2022","Both sexes","Roman Catholic","Ratoath, Co Meath","Number","7180"
"Population","2022","Both sexes","Roman Catholic","Dunboyne, Co Meath","Number","4946"
"Population","2022","Both sexes","Roman Catholic","Dunshaughlin, Co Meath","Number","4478"
"Population","2022","Both sexes","Roman Catholic","Navan, Co Meath","Number","22397"
"Population","2022","Both sexes","Roman Catholic","Trim, Co Meath","Number","6919"
"Population","2022","Both sexes","Roman Catholic","Enfield, Co Meath","Number","2508"
"Population","2022","Both sexes","Roman Catholic","Kells, Co Meath","Number","4854"
"Population","2022","Both sexes","Roman Catholic","Athboy, Co Meath","Number","1919"
"Population","2022","Both sexes","Roman Catholic","Longwood, Co Meath","Number","1250"
"Population","2022","Both sexes","Roman Catholic","Ballivor, Co Meath","Number","1432"
"Population","2022","Both sexes","Roman Catholic","Edenderry, Co Offaly","Number","5408"
"Population","2022","Both sexes","Roman Catholic","Tullamore, Co Offaly","Number","10794"
"Population","2022","Both sexes","Roman Catholic","Clara, Co Offaly","Number","2824"
"Population","2022","Both sexes","Roman Catholic","Birr, Co Offaly","Number","3638"
"Population","2022","Both sexes","Roman Catholic","Banagher, Co Offaly","Number","1512"
"Population","2022","Both sexes","Roman Catholic","Kinnegad, Co Westmeath","Number","2090"
"Population","2022","Both sexes","Roman Catholic","Killucan-Rathwire, Co Westmeath","Number","1080"
"Population","2022","Both sexes","Roman Catholic","Mullingar, Co Westmeath","Number","15514"
"Population","2022","Both sexes","Roman Catholic","Kilbeggan, Co Westmeath","Number","1067"
"Population","2022","Both sexes","Roman Catholic","Moate, Co Westmeath","Number","2117"
"Population","2022","Both sexes","Roman Catholic","Athlone, Counties Westmeath & Roscommon","Number","14098"
"Population","2022","Both sexes","Roman Catholic","Courtown, Co Wexford","Number","2750"
"Population","2022","Both sexes","Roman Catholic","Gorey, Co Wexford","Number","7988"
"Population","2022","Both sexes","Roman Catholic","Rosslare Harbour, Co Wexford","Number","1511"
"Population","2022","Both sexes","Roman Catholic","Rosslare, Co Wexford","Number","1327"
"Population","2022","Both sexes","Roman Catholic","Castlebridge, Co Wexford","Number","1374"
"Population","2022","Both sexes","Roman Catholic","Wexford, Co Wexford","Number","15181"
"Population","2022","Both sexes","Roman Catholic","Enniscorthy, Co Wexford","Number","8667"
"Population","2022","Both sexes","Roman Catholic","Bunclody, Counties Wexford & Carlow","Number","1423"
"Population","2022","Both sexes","Roman Catholic","New Ross, Wexford & Kilkenny","Number","6159"
"Population","2022","Both sexes","Roman Catholic","Wicklow, Co Wicklow","Number","8284"
"Population","2022","Both sexes","Roman Catholic","Kilcoole, Co Wicklow","Number","2993"
"Population","2022","Both sexes","Roman Catholic","Greystones-Delgany, Co Wicklow","Number","12111"
"Population","2022","Both sexes","Roman Catholic","Rathnew, Co Wicklow","Number","2558"
"Population","2022","Both sexes","Roman Catholic","Newtownmountkennedy, Co Wicklow","Number","2410"
"Population","2022","Both sexes","Roman Catholic","Ashford, Co Wicklow","Number","1204"
"Population","2022","Both sexes","Roman Catholic","Bray, Counties Wicklow & Dublin","Number","20121"
"Population","2022","Both sexes","Roman Catholic","Arklow, Co Wicklow","Number","9511"
"Population","2022","Both sexes","Roman Catholic","Enniskerry, Co Wicklow","Number","1263"
"Population","2022","Both sexes","Roman Catholic","Rathdrum, Co Wicklow","Number","1582"
"Population","2022","Both sexes","Roman Catholic","Blessington, Counties Wicklow & Kildare","Number","3911"
"Population","2022","Both sexes","Roman Catholic","Baltinglass, Co Wicklow","Number","1777"
"Population","2022","Both sexes","Roman Catholic","Killaloe, Co Clare","Number","1195"
"Population","2022","Both sexes","Roman Catholic","Sixmilebridge, Co Clare","Number","2204"
"Population","2022","Both sexes","Roman Catholic","Shannon, Co Clare","Number","6993"
"Population","2022","Both sexes","Roman Catholic","Newmarket-On-Fergus, Co Clare","Number","1495"
"Population","2022","Both sexes","Roman Catholic","Ennis, Co Clare","Number","19035"
"Population","2022","Both sexes","Roman Catholic","Kilrush, Co Clare","Number","2009"
"Population","2022","Both sexes","Roman Catholic","Cork city and suburbs, Co Cork","Number","145523"
"Population","2022","Both sexes","Roman Catholic","Blarney, Co Cork","Number","2132"
"Population","2022","Both sexes","Roman Catholic","Tower, Co Cork","Number","2538"
"Population","2022","Both sexes","Roman Catholic","Youghal, Co Cork","Number","6028"
"Population","2022","Both sexes","Roman Catholic","Castlemartyr, Co Cork","Number","1099"
"Population","2022","Both sexes","Roman Catholic","Cloyne, Co Cork","Number","1438"
"Population","2022","Both sexes","Roman Catholic","Midleton, Co Cork","Number","9334"
"Population","2022","Both sexes","Roman Catholic","Mitchelstown, Co Cork","Number","2893"
"Population","2022","Both sexes","Roman Catholic","Carrigtwohill, Co Cork","Number","3888"
"Population","2022","Both sexes","Roman Catholic","Fermoy, Co Cork","Number","4778"
"Population","2022","Both sexes","Roman Catholic","Rathcormac, Co Cork","Number","1455"
"Population","2022","Both sexes","Roman Catholic","Crosshaven, Co Cork","Number","2098"
"Population","2022","Both sexes","Roman Catholic","Cobh, Co Cork","Number","10275"
"Population","2022","Both sexes","Roman Catholic","Passage West-Monkstown, Co Cork","Number","4168"
"Population","2022","Both sexes","Roman Catholic","Watergrasshill, Co Cork","Number","1405"
"Population","2022","Both sexes","Roman Catholic","Carrigaline, Co Cork","Number","12837"
"Population","2022","Both sexes","Roman Catholic","Kinsale, Co Cork","Number","3656"
"Population","2022","Both sexes","Roman Catholic","Mallow, Co Cork","Number","9642"
"Population","2022","Both sexes","Roman Catholic","Charleville, Co Cork","Number","2719"
"Population","2022","Both sexes","Roman Catholic","Bandon, Co Cork","Number","5635"
"Population","2022","Both sexes","Roman Catholic","Clonakilty, Co Cork","Number","3371"
"Population","2022","Both sexes","Roman Catholic","Kanturk, Co Cork","Number","2181"
"Population","2022","Both sexes","Roman Catholic","Macroom, Co Cork","Number","3110"
