"Statistic Label","Year Daily Expense Allowance Activity Started","Country of Nationality","UNIT","VALUE"
"International protection persons","2019","America(3)","Number","72"
"International protection persons","2019","Other Countries(6)","Number","17"
"International protection persons","2019","All citizenships","Number","3951"
"International protection persons","2020","Afghanistan","Number","37"
"International protection persons","2020","Albania","Number","28"
"International protection persons","2020","Algeria","Number","49"
"International protection persons","2020","Bangladesh","Number","8"
"International protection persons","2020","Botswana","Number","10"
"International protection persons","2020","Congo (the Democratic Republic of the)","Number","29"
"International protection persons","2020","Egypt","Number","7"
"International protection persons","2020","El Salvador","Number","18"
"International protection persons","2020","Georgia","Number","46"
"International protection persons","2020","Ghana","Number","12"
"International protection persons","2020","Iraq","Number","17"
"International protection persons","2020","Jordan","Number",""
"International protection persons","2020","Malawi","Number","28"
"International protection persons","2020","Morocco","Number","17"
"International protection persons","2020","Nigeria","Number","140"
"International protection persons","2020","Pakistan","Number","53"
"International protection persons","2020","Palestine, State of","Number","16"
"International protection persons","2020","Somalia","Number","101"
"International protection persons","2020","South Africa","Number","114"
"International protection persons","2020","Sudan (the)","Number","10"
"International protection persons","2020","Eswatini","Number",""
"International protection persons","2020","Syrian Arab Republic (the)","Number","59"
"International protection persons","2020","Uganda","Number",""
"International protection persons","2020","Ukraine","Number",""
"International protection persons","2020","Zimbabwe","Number","105"
"International protection persons","2020","Africa(3)","Number","85"
"International protection persons","2020","Selected European Countries(2)","Number","21"
"International protection persons","2020","Asia(2)","Number","51"
"International protection persons","2020","America(3)","Number","37"
"International protection persons","2020","Other Countries(6)","Number","13"
"International protection persons","2020","All citizenships","Number","1120"
"International protection persons","2021","Afghanistan","Number","169"
"International protection persons","2021","Albania","Number","8"
"International protection persons","2021","Algeria","Number","78"
"International protection persons","2021","Bangladesh","Number","37"
"International protection persons","2021","Botswana","Number","35"
"International protection persons","2021","Congo (the Democratic Republic of the)","Number","17"
"International protection persons","2021","Egypt","Number","9"
"International protection persons","2021","El Salvador","Number","16"
"International protection persons","2021","Georgia","Number","144"
"International protection persons","2021","Ghana","Number","22"
"International protection persons","2021","Iraq","Number","26"
"International protection persons","2021","Jordan","Number","6"
"International protection persons","2021","Malawi","Number","10"
"International protection persons","2021","Morocco","Number","15"
"International protection persons","2021","Nigeria","Number","356"
"International protection persons","2021","Pakistan","Number","33"
"International protection persons","2021","Palestine, State of","Number",""
"International protection persons","2021","Somalia","Number","311"
"International protection persons","2021","South Africa","Number","62"
"International protection persons","2021","Sudan (the)","Number","23"
"International protection persons","2021","Eswatini","Number",""
"International protection persons","2021","Syrian Arab Republic (the)","Number","20"
"International protection persons","2021","Uganda","Number","11"
"International protection persons","2021","Ukraine","Number",""
"International protection persons","2021","Zimbabwe","Number","91"
"International protection persons","2021","Africa(3)","Number","85"
"International protection persons","2021","Selected European Countries(2)","Number","14"
"International protection persons","2021","Asia(2)","Number","23"
"International protection persons","2021","America(3)","Number","34"
"International protection persons","2021","Other Countries(6)","Number","16"
"International protection persons","2021","All citizenships","Number","1677"
"International protection persons","2022","Afghanistan","Number","684"
"International protection persons","2022","Albania","Number","99"
"International protection persons","2022","Algeria","Number","1473"
"International protection persons","2022","Bangladesh","Number","102"
"International protection persons","2022","Botswana","Number","395"
"International protection persons","2022","Congo (the Democratic Republic of the)","Number","166"
"International protection persons","2022","Egypt","Number","191"
"International protection persons","2022","El Salvador","Number","144"
"International protection persons","2022","Georgia","Number","2459"
"International protection persons","2022","Ghana","Number","64"
"International protection persons","2022","Iraq","Number","71"
"International protection persons","2022","Jordan","Number","24"
"International protection persons","2022","Malawi","Number","80"
"International protection persons","2022","Morocco","Number","174"
"International protection persons","2022","Nigeria","Number","1090"
"International protection persons","2022","Pakistan","Number","162"
"International protection persons","2022","Palestine, State of","Number","42"
"International protection persons","2022","Somalia","Number","1635"
"International protection persons","2022","South Africa","Number","412"
"International protection persons","2022","Sudan (the)","Number","95"
"International protection persons","2022","Eswatini","Number","60"
"International protection persons","2022","Syrian Arab Republic (the)","Number","90"
"International protection persons","2022","Uganda","Number","40"
"International protection persons","2022","Ukraine","Number","127"
"International protection persons","2022","Zimbabwe","Number","959"
"International protection persons","2022","Africa(3)","Number","450"
"International protection persons","2022","Selected European Countries(2)","Number","50"
"International protection persons","2022","Asia(2)","Number","179"
"International protection persons","2022","America(3)","Number","172"
"International protection persons","2022","Other Countries(6)","Number","61"
"International protection persons","2022","All citizenships","Number","11750"
"International protection persons","2023","Afghanistan","Number","946"
"International protection persons","2023","Albania","Number","87"
"International protection persons","2023","Algeria","Number","1342"
"International protection persons","2023","Bangladesh","Number","271"
"International protection persons","2023","Botswana","Number","306"
"International protection persons","2023","Congo (the Democratic Republic of the)","Number","151"
"International protection persons","2023","Egypt","Number","271"
"International protection persons","2023","El Salvador","Number","125"
"International protection persons","2023","Georgia","Number","968"
"International protection persons","2023","Ghana","Number","76"
"International protection persons","2023","Iraq","Number","77"
"International protection persons","2023","Jordan","Number","61"
"International protection persons","2023","Malawi","Number","63"
"International protection persons","2023","Morocco","Number","143"
"International protection persons","2023","Nigeria","Number","1613"
"International protection persons","2023","Pakistan","Number","416"
"International protection persons","2023","Palestine, State of","Number","82"
"International protection persons","2023","Somalia","Number","875"
"International protection persons","2023","South Africa","Number","388"
"International protection persons","2023","Sudan (the)","Number","101"
"International protection persons","2023","Eswatini","Number","95"
"International protection persons","2023","Syrian Arab Republic (the)","Number","116"
"International protection persons","2023","Uganda","Number","28"
"International protection persons","2023","Ukraine","Number","104"
"International protection persons","2023","Zimbabwe","Number","664"
"International protection persons","2023","Africa(3)","Number","334"
"International protection persons","2023","Selected European Countries(2)","Number","58"
"International protection persons","2023","Asia(2)","Number","188"
"International protection persons","2023","America(3)","Number","267"
"International protection persons","2023","Other Countries(6)","Number","36"
"International protection persons","2023","All citizenships","Number","10252"
"International protection persons","2024","Afghanistan","Number","811"
"International protection persons","2024","Albania","Number","58"
"International protection persons","2024","Algeria","Number","374"
"International protection persons","2024","Bangladesh","Number","983"
"International protection persons","2024","Botswana","Number","162"
"International protection persons","2024","Congo (the Democratic Republic of the)","Number","177"
"International protection persons","2024","Egypt","Number","161"
"International protection persons","2024","El Salvador","Number","100"
"International protection persons","2024","Georgia","Number","638"
"International protection persons","2024","Ghana","Number","86"
"International protection persons","2024","Iraq","Number","42"
"International protection persons","2024","Jordan","Number","2766"
"International protection persons","2024","Malawi","Number","103"
"International protection persons","2024","Morocco","Number","83"
"International protection persons","2024","Nigeria","Number","4176"
"International protection persons","2024","Pakistan","Number","1261"
"International protection persons","2024","Palestine, State of","Number","877"
"International protection persons","2024","Somalia","Number","1284"
"International protection persons","2024","South Africa","Number","428"
"International protection persons","2024","Sudan (the)","Number","148"
"International protection persons","2024","Eswatini","Number","219"
"International protection persons","2024","Syrian Arab Republic (the)","Number","270"
"International protection persons","2024","Uganda","Number","33"
"International protection persons","2024","Ukraine","Number","398"
"International protection persons","2024","Zimbabwe","Number","546"
"International protection persons","2024","Africa(3)","Number","354"
"International protection persons","2024","Selected European Countries(2)","Number","40"
"International protection persons","2024","Asia(2)","Number","323"
"International protection persons","2024","America(3)","Number","293"
"International protection persons","2024","Other Countries(6)","Number","56"
"International protection persons","2024","All citizenships","Number","17250"
