"Statistic Label","Census Year","Ethnicity","Citizenship","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Australia","Number","139"
"Population Usually Resident and Present in the State","2022","Other including mixed background","United States of America (the)","Number","867"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Brazil","Number","7597"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Other America(1)","Number","5222"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Other countries","Number","405"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Multiple/Dual citizenship","Number","1101"
"Population Usually Resident and Present in the State","2022","Other including mixed background","No citizenship","Number","694"
"Population Usually Resident and Present in the State","2022","Other including mixed background","Citizenship not stated","Number","467"
"Population Usually Resident and Present in the State","2022","Not stated","All citizenships","Number","313176"
"Population Usually Resident and Present in the State","2022","Not stated","Ireland","Number","105711"
"Population Usually Resident and Present in the State","2022","Not stated","Croatia","Number","964"
"Population Usually Resident and Present in the State","2022","Not stated","France","Number","2087"
"Population Usually Resident and Present in the State","2022","Not stated","Germany","Number","1180"
"Population Usually Resident and Present in the State","2022","Not stated","Italy","Number","1979"
"Population Usually Resident and Present in the State","2022","Not stated","Latvia","Number","1897"
"Population Usually Resident and Present in the State","2022","Not stated","Lithuania","Number","3640"
"Population Usually Resident and Present in the State","2022","Not stated","Poland","Number","9891"
"Population Usually Resident and Present in the State","2022","Not stated","Romania","Number","5455"
"Population Usually Resident and Present in the State","2022","Not stated","Spain","Number","2471"
"Population Usually Resident and Present in the State","2022","Not stated","Ukraine","Number","5712"
"Population Usually Resident and Present in the State","2022","Not stated","United Kingdom of Great Britain and Northern Ireland (the)","Number","5889"
"Population Usually Resident and Present in the State","2022","Not stated","Other EU27 (2020)","Number","6214"
"Population Usually Resident and Present in the State","2022","Not stated","Rest of Europe(1)","Number","1348"
"Population Usually Resident and Present in the State","2022","Not stated","Africa","Number","3291"
"Population Usually Resident and Present in the State","2022","Not stated","China","Number","887"
"Population Usually Resident and Present in the State","2022","Not stated","India","Number","2402"
"Population Usually Resident and Present in the State","2022","Not stated","Other Asia(1)","Number","3893"
"Population Usually Resident and Present in the State","2022","Not stated","Australia","Number","519"
"Population Usually Resident and Present in the State","2022","Not stated","United States of America (the)","Number","1283"
"Population Usually Resident and Present in the State","2022","Not stated","Brazil","Number","3286"
"Population Usually Resident and Present in the State","2022","Not stated","Other America(1)","Number","1400"
"Population Usually Resident and Present in the State","2022","Not stated","Other countries","Number","636"
"Population Usually Resident and Present in the State","2022","Not stated","Multiple/Dual citizenship","Number","400"
"Population Usually Resident and Present in the State","2022","Not stated","No citizenship","Number","325"
"Population Usually Resident and Present in the State","2022","Not stated","Citizenship not stated","Number","140416"
