"Statistic Label","Census Year","Ethnicity","Citizenship","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","United Kingdom of Great Britain and Northern Ireland (the)","Number","179"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Other EU27 (2020)","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Rest of Europe(1)","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Africa","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","China","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","India","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Other Asia(1)","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Australia","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","United States of America (the)","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Brazil","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Other America(1)","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Other countries","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Multiple/Dual citizenship","Number","0"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","No citizenship","Number","110"
"Population Usually Resident and Present in the State","2022","White Irish Traveller","Citizenship not stated","Number","2066"
"Population Usually Resident and Present in the State","2022","Roma","All citizenships","Number","16059"
"Population Usually Resident and Present in the State","2022","Roma","Ireland","Number","4430"
"Population Usually Resident and Present in the State","2022","Roma","Croatia","Number","69"
"Population Usually Resident and Present in the State","2022","Roma","France","Number","121"
"Population Usually Resident and Present in the State","2022","Roma","Germany","Number","25"
"Population Usually Resident and Present in the State","2022","Roma","Italy","Number","1550"
"Population Usually Resident and Present in the State","2022","Roma","Latvia","Number","277"
"Population Usually Resident and Present in the State","2022","Roma","Lithuania","Number","1186"
"Population Usually Resident and Present in the State","2022","Roma","Poland","Number","1473"
"Population Usually Resident and Present in the State","2022","Roma","Romania","Number","3523"
"Population Usually Resident and Present in the State","2022","Roma","Spain","Number","535"
"Population Usually Resident and Present in the State","2022","Roma","Ukraine","Number","35"
"Population Usually Resident and Present in the State","2022","Roma","United Kingdom of Great Britain and Northern Ireland (the)","Number","31"
"Population Usually Resident and Present in the State","2022","Roma","Other EU27 (2020)","Number","1174"
"Population Usually Resident and Present in the State","2022","Roma","Rest of Europe(1)","Number","218"
"Population Usually Resident and Present in the State","2022","Roma","Africa","Number","16"
"Population Usually Resident and Present in the State","2022","Roma","China","Number","0"
"Population Usually Resident and Present in the State","2022","Roma","India","Number","16"
"Population Usually Resident and Present in the State","2022","Roma","Other Asia(1)","Number","60"
"Population Usually Resident and Present in the State","2022","Roma","Australia","Number","0"
"Population Usually Resident and Present in the State","2022","Roma","United States of America (the)","Number","9"
"Population Usually Resident and Present in the State","2022","Roma","Brazil","Number","242"
