"Statistic Label","Month","County","Driving Test Categories","UNIT","VALUE"
"Driving Tests Delivered","2021 January","Co. Cavan","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Cavan","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Cavan","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Cavan","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Cavan","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Cavan","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Cavan","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Cavan","CPC Practical Test (Truck/Artic)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","All Test Categories","Number","228"
"Driving Tests Delivered","2021 January","Co. Carlow","Category B (Car or light van)","Number","215"
"Driving Tests Delivered","2021 January","Co. Carlow","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category A2 (Motorcycle - medium power)","Number","1"
"Driving Tests Delivered","2021 January","Co. Carlow","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category BE (Car with Trailer)","Number","4"
"Driving Tests Delivered","2021 January","Co. Carlow","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category C (Truck)","Number","5"
"Driving Tests Delivered","2021 January","Co. Carlow","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Carlow","CPC Practical Test (Bus)","Number","1"
"Driving Tests Delivered","2021 January","Co. Carlow","CPC Practical Test (Truck/Artic)","Number","2"
"Driving Tests Delivered","2021 January","Co. Donegal","All Test Categories","Number","380"
