"Statistic Label","Month","County","Driving Test Categories","UNIT","VALUE"
"Driving Tests Delivered","2021 December","Co. Sligo","Category C (Truck)","Number","5"
"Driving Tests Delivered","2021 December","Co. Sligo","Category CE (Articulated Truck)","Number","16"
"Driving Tests Delivered","2021 December","Co. Sligo","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 December","Co. Sligo","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Sligo","Category D (Bus)","Number","1"
"Driving Tests Delivered","2021 December","Co. Sligo","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Sligo","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 December","Co. Sligo","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 December","Co. Sligo","CPC Practical Test (Truck/Artic)","Number","3"
"Driving Tests Delivered","2021 December","Co. Tipperary","All Test Categories","Number","372"
"Driving Tests Delivered","2021 December","Co. Tipperary","Category B (Car or light van)","Number","351"
"Driving Tests Delivered","2021 December","Co. Tipperary","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category A2 (Motorcycle - medium power)","Number","1"
"Driving Tests Delivered","2021 December","Co. Tipperary","Category A (Motorcycle All)","Number","8"
"Driving Tests Delivered","2021 December","Co. Tipperary","Category BE (Car with Trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category C (Truck)","Number","9"
"Driving Tests Delivered","2021 December","Co. Tipperary","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category D1 (Minibus)","Number","1"
"Driving Tests Delivered","2021 December","Co. Tipperary","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 December","Co. Tipperary","CPC Practical Test (Truck/Artic)","Number","2"
"Driving Tests Delivered","2021 December","Co. Waterford","All Test Categories","Number","566"
"Driving Tests Delivered","2021 December","Co. Waterford","Category B (Car or light van)","Number","500"
"Driving Tests Delivered","2021 December","Co. Waterford","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 December","Co. Waterford","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 December","Co. Waterford","Category A2 (Motorcycle - medium power)","Number","3"
"Driving Tests Delivered","2021 December","Co. Waterford","Category A (Motorcycle All)","Number","1"
"Driving Tests Delivered","2021 December","Co. Waterford","Category BE (Car with Trailer)","Number","13"
"Driving Tests Delivered","2021 December","Co. Waterford","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2021 December","Co. Waterford","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Waterford","Category C (Truck)","Number","8"
"Driving Tests Delivered","2021 December","Co. Waterford","Category CE (Articulated Truck)","Number","26"
"Driving Tests Delivered","2021 December","Co. Waterford","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 December","Co. Waterford","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Waterford","Category D (Bus)","Number","6"
"Driving Tests Delivered","2021 December","Co. Waterford","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Waterford","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 December","Co. Waterford","CPC Practical Test (Bus)","Number","2"
"Driving Tests Delivered","2021 December","Co. Waterford","CPC Practical Test (Truck/Artic)","Number","6"
"Driving Tests Delivered","2021 December","Co. Wicklow","All Test Categories","Number","144"
"Driving Tests Delivered","2021 December","Co. Wicklow","Category B (Car or light van)","Number","133"
"Driving Tests Delivered","2021 December","Co. Wicklow","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category BE (Car with Trailer)","Number","8"
"Driving Tests Delivered","2021 December","Co. Wicklow","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category C (Truck)","Number","2"
"Driving Tests Delivered","2021 December","Co. Wicklow","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 December","Co. Wicklow","CPC Practical Test (Truck/Artic)","Number","1"
"Driving Tests Delivered","2021 December","Co. Westmeath","All Test Categories","Number","359"
"Driving Tests Delivered","2021 December","Co. Westmeath","Category B (Car or light van)","Number","302"
"Driving Tests Delivered","2021 December","Co. Westmeath","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","Category BE (Car with Trailer)","Number","12"
"Driving Tests Delivered","2021 December","Co. Westmeath","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2021 December","Co. Westmeath","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","Category C (Truck)","Number","14"
"Driving Tests Delivered","2021 December","Co. Westmeath","Category CE (Articulated Truck)","Number","20"
"Driving Tests Delivered","2021 December","Co. Westmeath","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","Category D (Bus)","Number","5"
"Driving Tests Delivered","2021 December","Co. Westmeath","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 December","Co. Westmeath","CPC Practical Test (Bus)","Number","2"
"Driving Tests Delivered","2021 December","Co. Westmeath","CPC Practical Test (Truck/Artic)","Number","3"
"Driving Tests Delivered","2021 December","Co. Wexford","All Test Categories","Number","409"
"Driving Tests Delivered","2021 December","Co. Wexford","Category B (Car or light van)","Number","357"
"Driving Tests Delivered","2021 December","Co. Wexford","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 December","Co. Wexford","Category A1 (Motorcycle - low power)","Number","1"
"Driving Tests Delivered","2021 December","Co. Wexford","Category A2 (Motorcycle - medium power)","Number","1"
"Driving Tests Delivered","2021 December","Co. Wexford","Category A (Motorcycle All)","Number","23"
"Driving Tests Delivered","2021 December","Co. Wexford","Category BE (Car with Trailer)","Number","12"
"Driving Tests Delivered","2021 December","Co. Wexford","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2021 December","Co. Wexford","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Wexford","Category C (Truck)","Number","7"
"Driving Tests Delivered","2021 December","Co. Wexford","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 December","Co. Wexford","Category D1 (Minibus)","Number","3"
"Driving Tests Delivered","2021 December","Co. Wexford","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Wexford","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 December","Co. Wexford","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 December","Co. Wexford","Category W (Tractor)","Number","1"
"Driving Tests Delivered","2021 December","Co. Wexford","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 December","Co. Wexford","CPC Practical Test (Truck/Artic)","Number","4"
"Driving Tests Delivered","2022 January","Ireland","All Test Categories","Number","15965"
"Driving Tests Delivered","2022 January","Ireland","Category B (Car or light van)","Number","14275"
"Driving Tests Delivered","2022 January","Ireland","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Ireland","Category A1 (Motorcycle - low power)","Number","6"
"Driving Tests Delivered","2022 January","Ireland","Category A2 (Motorcycle - medium power)","Number","25"
"Driving Tests Delivered","2022 January","Ireland","Category A (Motorcycle All)","Number","224"
"Driving Tests Delivered","2022 January","Ireland","Category BE (Car with Trailer)","Number","336"
"Driving Tests Delivered","2022 January","Ireland","Category C1 (Small truck / large van)","Number","21"
"Driving Tests Delivered","2022 January","Ireland","Category C1E (Small truck / large van with trailer)","Number","1"
"Driving Tests Delivered","2022 January","Ireland","Category C (Truck)","Number","417"
"Driving Tests Delivered","2022 January","Ireland","Category CE (Articulated Truck)","Number","150"
"Driving Tests Delivered","2022 January","Ireland","Category D1 (Minibus)","Number","19"
"Driving Tests Delivered","2022 January","Ireland","Category D1E (Minibus with trailer)","Number","2"
"Driving Tests Delivered","2022 January","Ireland","Category D (Bus)","Number","136"
"Driving Tests Delivered","2022 January","Ireland","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Ireland","Category W (Tractor)","Number","1"
"Driving Tests Delivered","2022 January","Ireland","CPC Practical Test (Bus)","Number","109"
"Driving Tests Delivered","2022 January","Ireland","CPC Practical Test (Truck/Artic)","Number","243"
"Driving Tests Delivered","2022 January","Co. Clare","All Test Categories","Number","376"
"Driving Tests Delivered","2022 January","Co. Clare","Category B (Car or light van)","Number","354"
"Driving Tests Delivered","2022 January","Co. Clare","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","Category A2 (Motorcycle - medium power)","Number","2"
"Driving Tests Delivered","2022 January","Co. Clare","Category A (Motorcycle All)","Number","5"
"Driving Tests Delivered","2022 January","Co. Clare","Category BE (Car with Trailer)","Number","8"
"Driving Tests Delivered","2022 January","Co. Clare","Category C1 (Small truck / large van)","Number","3"
"Driving Tests Delivered","2022 January","Co. Clare","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","Category C (Truck)","Number","2"
"Driving Tests Delivered","2022 January","Co. Clare","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","Category D (Bus)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Clare","CPC Practical Test (Bus)","Number","1"
"Driving Tests Delivered","2022 January","Co. Clare","CPC Practical Test (Truck/Artic)","Number","1"
"Driving Tests Delivered","2022 January","Co. Cork","All Test Categories","Number","1536"
"Driving Tests Delivered","2022 January","Co. Cork","Category B (Car or light van)","Number","1360"
"Driving Tests Delivered","2022 January","Co. Cork","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Cork","Category A1 (Motorcycle - low power)","Number","4"
"Driving Tests Delivered","2022 January","Co. Cork","Category A2 (Motorcycle - medium power)","Number","2"
"Driving Tests Delivered","2022 January","Co. Cork","Category A (Motorcycle All)","Number","35"
"Driving Tests Delivered","2022 January","Co. Cork","Category BE (Car with Trailer)","Number","34"
"Driving Tests Delivered","2022 January","Co. Cork","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2022 January","Co. Cork","Category C1E (Small truck / large van with trailer)","Number","1"
"Driving Tests Delivered","2022 January","Co. Cork","Category C (Truck)","Number","37"
"Driving Tests Delivered","2022 January","Co. Cork","Category CE (Articulated Truck)","Number","16"
"Driving Tests Delivered","2022 January","Co. Cork","Category D1 (Minibus)","Number","1"
"Driving Tests Delivered","2022 January","Co. Cork","Category D1E (Minibus with trailer)","Number","1"
"Driving Tests Delivered","2022 January","Co. Cork","Category D (Bus)","Number","12"
"Driving Tests Delivered","2022 January","Co. Cork","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Cork","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Cork","CPC Practical Test (Bus)","Number","15"
"Driving Tests Delivered","2022 January","Co. Cork","CPC Practical Test (Truck/Artic)","Number","17"
"Driving Tests Delivered","2022 January","Co. Cavan","All Test Categories","Number","274"
"Driving Tests Delivered","2022 January","Co. Cavan","Category B (Car or light van)","Number","239"
"Driving Tests Delivered","2022 January","Co. Cavan","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category A2 (Motorcycle - medium power)","Number","2"
"Driving Tests Delivered","2022 January","Co. Cavan","Category A (Motorcycle All)","Number","9"
"Driving Tests Delivered","2022 January","Co. Cavan","Category BE (Car with Trailer)","Number","20"
"Driving Tests Delivered","2022 January","Co. Cavan","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category C (Truck)","Number","3"
"Driving Tests Delivered","2022 January","Co. Cavan","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category D (Bus)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2022 January","Co. Cavan","CPC Practical Test (Truck/Artic)","Number","1"
"Driving Tests Delivered","2022 January","Co. Carlow","All Test Categories","Number","331"
"Driving Tests Delivered","2022 January","Co. Carlow","Category B (Car or light van)","Number","276"
"Driving Tests Delivered","2022 January","Co. Carlow","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category A2 (Motorcycle - medium power)","Number","1"
"Driving Tests Delivered","2022 January","Co. Carlow","Category A (Motorcycle All)","Number","4"
"Driving Tests Delivered","2022 January","Co. Carlow","Category BE (Car with Trailer)","Number","27"
"Driving Tests Delivered","2022 January","Co. Carlow","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category C (Truck)","Number","14"
"Driving Tests Delivered","2022 January","Co. Carlow","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category D (Bus)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2022 January","Co. Carlow","CPC Practical Test (Truck/Artic)","Number","9"
"Driving Tests Delivered","2022 January","Co. Donegal","All Test Categories","Number","543"
"Driving Tests Delivered","2022 January","Co. Donegal","Category B (Car or light van)","Number","483"
"Driving Tests Delivered","2022 January","Co. Donegal","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category BE (Car with Trailer)","Number","11"
"Driving Tests Delivered","2022 January","Co. Donegal","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category C (Truck)","Number","20"
"Driving Tests Delivered","2022 January","Co. Donegal","Category CE (Articulated Truck)","Number","5"
"Driving Tests Delivered","2022 January","Co. Donegal","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category D (Bus)","Number","4"
"Driving Tests Delivered","2022 January","Co. Donegal","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Donegal","CPC Practical Test (Bus)","Number","4"
"Driving Tests Delivered","2022 January","Co. Donegal","CPC Practical Test (Truck/Artic)","Number","16"
"Driving Tests Delivered","2022 January","Co. Dublin","All Test Categories","Number","4737"
"Driving Tests Delivered","2022 January","Co. Dublin","Category B (Car or light van)","Number","4369"
"Driving Tests Delivered","2022 January","Co. Dublin","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Dublin","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Dublin","Category A2 (Motorcycle - medium power)","Number","12"
"Driving Tests Delivered","2022 January","Co. Dublin","Category A (Motorcycle All)","Number","81"
"Driving Tests Delivered","2022 January","Co. Dublin","Category BE (Car with Trailer)","Number","38"
"Driving Tests Delivered","2022 January","Co. Dublin","Category C1 (Small truck / large van)","Number","5"
"Driving Tests Delivered","2022 January","Co. Dublin","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Dublin","Category C (Truck)","Number","72"
"Driving Tests Delivered","2022 January","Co. Dublin","Category CE (Articulated Truck)","Number","25"
"Driving Tests Delivered","2022 January","Co. Dublin","Category D1 (Minibus)","Number","5"
"Driving Tests Delivered","2022 January","Co. Dublin","Category D1E (Minibus with trailer)","Number","1"
"Driving Tests Delivered","2022 January","Co. Dublin","Category D (Bus)","Number","51"
"Driving Tests Delivered","2022 January","Co. Dublin","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Dublin","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Dublin","CPC Practical Test (Bus)","Number","37"
"Driving Tests Delivered","2022 January","Co. Dublin","CPC Practical Test (Truck/Artic)","Number","41"
"Driving Tests Delivered","2022 January","Co. Galway","All Test Categories","Number","883"
"Driving Tests Delivered","2022 January","Co. Galway","Category B (Car or light van)","Number","794"
"Driving Tests Delivered","2022 January","Co. Galway","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Galway","Category A1 (Motorcycle - low power)","Number","1"
"Driving Tests Delivered","2022 January","Co. Galway","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2022 January","Co. Galway","Category A (Motorcycle All)","Number","8"
"Driving Tests Delivered","2022 January","Co. Galway","Category BE (Car with Trailer)","Number","26"
"Driving Tests Delivered","2022 January","Co. Galway","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2022 January","Co. Galway","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Galway","Category C (Truck)","Number","26"
"Driving Tests Delivered","2022 January","Co. Galway","Category CE (Articulated Truck)","Number","4"
"Driving Tests Delivered","2022 January","Co. Galway","Category D1 (Minibus)","Number","1"
"Driving Tests Delivered","2022 January","Co. Galway","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Galway","Category D (Bus)","Number","4"
"Driving Tests Delivered","2022 January","Co. Galway","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Galway","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Galway","CPC Practical Test (Bus)","Number","4"
"Driving Tests Delivered","2022 January","Co. Galway","CPC Practical Test (Truck/Artic)","Number","14"
"Driving Tests Delivered","2022 January","Co. Kildare","All Test Categories","Number","774"
"Driving Tests Delivered","2022 January","Co. Kildare","Category B (Car or light van)","Number","696"
"Driving Tests Delivered","2022 January","Co. Kildare","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Kildare","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Kildare","Category A2 (Motorcycle - medium power)","Number","2"
"Driving Tests Delivered","2022 January","Co. Kildare","Category A (Motorcycle All)","Number","26"
"Driving Tests Delivered","2022 January","Co. Kildare","Category BE (Car with Trailer)","Number","29"
"Driving Tests Delivered","2022 January","Co. Kildare","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2022 January","Co. Kildare","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kildare","Category C (Truck)","Number","13"
"Driving Tests Delivered","2022 January","Co. Kildare","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2022 January","Co. Kildare","Category D1 (Minibus)","Number","1"
"Driving Tests Delivered","2022 January","Co. Kildare","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kildare","Category D (Bus)","Number",""
"Driving Tests Delivered","2022 January","Co. Kildare","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kildare","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Kildare","CPC Practical Test (Bus)","Number","2"
"Driving Tests Delivered","2022 January","Co. Kildare","CPC Practical Test (Truck/Artic)","Number","4"
"Driving Tests Delivered","2022 January","Co. Kilkenny","All Test Categories","Number","254"
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category B (Car or light van)","Number","216"
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category BE (Car with Trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category C1 (Small truck / large van)","Number","2"
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category C (Truck)","Number","8"
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category D1 (Minibus)","Number","1"
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category D (Bus)","Number","13"
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Kilkenny","CPC Practical Test (Bus)","Number","8"
"Driving Tests Delivered","2022 January","Co. Kilkenny","CPC Practical Test (Truck/Artic)","Number","6"
"Driving Tests Delivered","2022 January","Co. Kerry","All Test Categories","Number","485"
"Driving Tests Delivered","2022 January","Co. Kerry","Category B (Car or light van)","Number","412"
"Driving Tests Delivered","2022 January","Co. Kerry","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Kerry","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Kerry","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2022 January","Co. Kerry","Category A (Motorcycle All)","Number","4"
"Driving Tests Delivered","2022 January","Co. Kerry","Category BE (Car with Trailer)","Number","17"
"Driving Tests Delivered","2022 January","Co. Kerry","Category C1 (Small truck / large van)","Number","2"
"Driving Tests Delivered","2022 January","Co. Kerry","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kerry","Category C (Truck)","Number","19"
"Driving Tests Delivered","2022 January","Co. Kerry","Category CE (Articulated Truck)","Number","1"
"Driving Tests Delivered","2022 January","Co. Kerry","Category D1 (Minibus)","Number","1"
"Driving Tests Delivered","2022 January","Co. Kerry","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kerry","Category D (Bus)","Number","13"
"Driving Tests Delivered","2022 January","Co. Kerry","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Kerry","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Kerry","CPC Practical Test (Bus)","Number","11"
"Driving Tests Delivered","2022 January","Co. Kerry","CPC Practical Test (Truck/Artic)","Number","5"
"Driving Tests Delivered","2022 January","Co. Longford","All Test Categories","Number","130"
"Driving Tests Delivered","2022 January","Co. Longford","Category B (Car or light van)","Number","118"
"Driving Tests Delivered","2022 January","Co. Longford","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category BE (Car with Trailer)","Number","3"
"Driving Tests Delivered","2022 January","Co. Longford","Category C1 (Small truck / large van)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category C (Truck)","Number","7"
"Driving Tests Delivered","2022 January","Co. Longford","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category D (Bus)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","Category W (Tractor)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2022 January","Co. Longford","CPC Practical Test (Truck/Artic)","Number","2"
"Driving Tests Delivered","2022 January","Co. Louth","All Test Categories","Number","641"
