"Statistic Label","Year","County","UNIT","VALUE"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Carlow","Euro Million","1493.3"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Cavan","Euro Million","1737.4"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Clare","Euro Million","2876.57"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Cork","Euro Million","16252.14"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Donegal","Euro Million","2942.03"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Dublin","Euro Million","50826.41"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Galway","Euro Million","7201.07"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Kerry","Euro Million","3280.05"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Kildare","Euro Million","7632.33"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Kilkenny","Euro Million","2255.59"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Laois","Euro Million","1943.77"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Leitrim","Euro Million","724.25"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Limerick","Euro Million","5487.55"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Longford","Euro Million","922.26"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Louth","Euro Million","3644.9"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Mayo","Euro Million","3050.45"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Meath","Euro Million","5965.35"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Monaghan","Euro Million","1392.55"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Offaly","Euro Million","1785.8"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Roscommon","Euro Million","1422.11"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Sligo","Euro Million","1570.27"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Tipperary","Euro Million","3954.52"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Waterford","Euro Million","3097.24"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Westmeath","Euro Million","2513.96"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Wexford","Euro Million","3488.01"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2023","Co. Wicklow","Euro Million","4481.59"
"Income of Self Employed","2000","Ireland","Euro Million","9696.87"
"Income of Self Employed","2000","Co. Carlow","Euro Million","133.38"
"Income of Self Employed","2000","Co. Cavan","Euro Million","176.69"
"Income of Self Employed","2000","Co. Clare","Euro Million","255.83"
"Income of Self Employed","2000","Co. Cork","Euro Million","1274.1"
"Income of Self Employed","2000","Co. Donegal","Euro Million","274.19"
"Income of Self Employed","2000","Co. Dublin","Euro Million","2420.96"
"Income of Self Employed","2000","Co. Galway","Euro Million","518.59"
"Income of Self Employed","2000","Co. Kerry","Euro Million","412.03"
"Income of Self Employed","2000","Co. Kildare","Euro Million","353.98"
"Income of Self Employed","2000","Co. Kilkenny","Euro Million","251.85"
"Income of Self Employed","2000","Co. Laois","Euro Million","161.48"
"Income of Self Employed","2000","Co. Leitrim","Euro Million","63.86"
"Income of Self Employed","2000","Co. Limerick","Euro Million","374.84"
"Income of Self Employed","2000","Co. Longford","Euro Million","83"
"Income of Self Employed","2000","Co. Louth","Euro Million","198.7"
"Income of Self Employed","2000","Co. Mayo","Euro Million","284.62"
"Income of Self Employed","2000","Co. Meath","Euro Million","363.64"
"Income of Self Employed","2000","Co. Monaghan","Euro Million","143.1"
"Income of Self Employed","2000","Co. Offaly","Euro Million","161.51"
"Income of Self Employed","2000","Co. Roscommon","Euro Million","134.75"
"Income of Self Employed","2000","Co. Sligo","Euro Million","121.53"
"Income of Self Employed","2000","Co. Tipperary","Euro Million","451.47"
"Income of Self Employed","2000","Co. Waterford","Euro Million","254.39"
"Income of Self Employed","2000","Co. Westmeath","Euro Million","188.83"
"Income of Self Employed","2000","Co. Wexford","Euro Million","351.84"
"Income of Self Employed","2000","Co. Wicklow","Euro Million","287.73"
"Income of Self Employed","2001","Ireland","Euro Million","10608.69"
"Income of Self Employed","2001","Co. Carlow","Euro Million","145.76"
"Income of Self Employed","2001","Co. Cavan","Euro Million","193.46"
"Income of Self Employed","2001","Co. Clare","Euro Million","279.61"
"Income of Self Employed","2001","Co. Cork","Euro Million","1395.01"
"Income of Self Employed","2001","Co. Donegal","Euro Million","300.54"
"Income of Self Employed","2001","Co. Dublin","Euro Million","2640.38"
"Income of Self Employed","2001","Co. Galway","Euro Million","568.46"
"Income of Self Employed","2001","Co. Kerry","Euro Million","451.05"
"Income of Self Employed","2001","Co. Kildare","Euro Million","385.81"
"Income of Self Employed","2001","Co. Kilkenny","Euro Million","275.95"
"Income of Self Employed","2001","Co. Laois","Euro Million","176.95"
"Income of Self Employed","2001","Co. Leitrim","Euro Million","69.6"
"Income of Self Employed","2001","Co. Limerick","Euro Million","410.86"
"Income of Self Employed","2001","Co. Longford","Euro Million","90.86"
"Income of Self Employed","2001","Co. Louth","Euro Million","216.84"
"Income of Self Employed","2001","Co. Mayo","Euro Million","316.63"
"Income of Self Employed","2001","Co. Meath","Euro Million","397.79"
"Income of Self Employed","2001","Co. Monaghan","Euro Million","156.99"
"Income of Self Employed","2001","Co. Offaly","Euro Million","177.33"
"Income of Self Employed","2001","Co. Roscommon","Euro Million","146.97"
"Income of Self Employed","2001","Co. Sligo","Euro Million","133.06"
"Income of Self Employed","2001","Co. Tipperary","Euro Million","495.41"
"Income of Self Employed","2001","Co. Waterford","Euro Million","277.93"
"Income of Self Employed","2001","Co. Westmeath","Euro Million","206.18"
"Income of Self Employed","2001","Co. Wexford","Euro Million","385.33"
"Income of Self Employed","2001","Co. Wicklow","Euro Million","313.94"
"Income of Self Employed","2002","Ireland","Euro Million","9921.35"
"Income of Self Employed","2002","Co. Carlow","Euro Million","136.05"
"Income of Self Employed","2002","Co. Cavan","Euro Million","180.35"
"Income of Self Employed","2002","Co. Clare","Euro Million","262.97"
"Income of Self Employed","2002","Co. Cork","Euro Million","1301.84"
"Income of Self Employed","2002","Co. Donegal","Euro Million","279.66"
"Income of Self Employed","2002","Co. Dublin","Euro Million","2478.71"
"Income of Self Employed","2002","Co. Galway","Euro Million","530.05"
"Income of Self Employed","2002","Co. Kerry","Euro Million","420.94"
"Income of Self Employed","2002","Co. Kildare","Euro Million","363.17"
"Income of Self Employed","2002","Co. Kilkenny","Euro Million","258.59"
"Income of Self Employed","2002","Co. Laois","Euro Million","165.53"
"Income of Self Employed","2002","Co. Leitrim","Euro Million","65.85"
"Income of Self Employed","2002","Co. Limerick","Euro Million","385.86"
"Income of Self Employed","2002","Co. Longford","Euro Million","84.93"
"Income of Self Employed","2002","Co. Louth","Euro Million","203.79"
"Income of Self Employed","2002","Co. Mayo","Euro Million","292.58"
"Income of Self Employed","2002","Co. Meath","Euro Million","369.45"
"Income of Self Employed","2002","Co. Monaghan","Euro Million","145.51"
"Income of Self Employed","2002","Co. Offaly","Euro Million","164.77"
"Income of Self Employed","2002","Co. Roscommon","Euro Million","138.08"
"Income of Self Employed","2002","Co. Sligo","Euro Million","124.56"
"Income of Self Employed","2002","Co. Tipperary","Euro Million","461.01"
"Income of Self Employed","2002","Co. Waterford","Euro Million","260.51"
"Income of Self Employed","2002","Co. Westmeath","Euro Million","193.05"
"Income of Self Employed","2002","Co. Wexford","Euro Million","358.66"
"Income of Self Employed","2002","Co. Wicklow","Euro Million","294.88"
"Income of Self Employed","2003","Ireland","Euro Million","10828.45"
"Income of Self Employed","2003","Co. Carlow","Euro Million","149.55"
"Income of Self Employed","2003","Co. Cavan","Euro Million","197.61"
"Income of Self Employed","2003","Co. Clare","Euro Million","284.65"
"Income of Self Employed","2003","Co. Cork","Euro Million","1423.56"
"Income of Self Employed","2003","Co. Donegal","Euro Million","306.55"
"Income of Self Employed","2003","Co. Dublin","Euro Million","2710.07"
"Income of Self Employed","2003","Co. Galway","Euro Million","578.56"
"Income of Self Employed","2003","Co. Kerry","Euro Million","460.5"
"Income of Self Employed","2003","Co. Kildare","Euro Million","395.69"
"Income of Self Employed","2003","Co. Kilkenny","Euro Million","279.81"
"Income of Self Employed","2003","Co. Laois","Euro Million","179.68"
"Income of Self Employed","2003","Co. Leitrim","Euro Million","71.03"
"Income of Self Employed","2003","Co. Limerick","Euro Million","415.23"
"Income of Self Employed","2003","Co. Longford","Euro Million","92.6"
"Income of Self Employed","2003","Co. Louth","Euro Million","221.91"
"Income of Self Employed","2003","Co. Mayo","Euro Million","310.93"
"Income of Self Employed","2003","Co. Meath","Euro Million","408.97"
"Income of Self Employed","2003","Co. Monaghan","Euro Million","160.35"
"Income of Self Employed","2003","Co. Offaly","Euro Million","180.25"
"Income of Self Employed","2003","Co. Roscommon","Euro Million","150.71"
"Income of Self Employed","2003","Co. Sligo","Euro Million","135.38"
"Income of Self Employed","2003","Co. Tipperary","Euro Million","503.6"
"Income of Self Employed","2003","Co. Waterford","Euro Million","284.21"
"Income of Self Employed","2003","Co. Westmeath","Euro Million","211.44"
"Income of Self Employed","2003","Co. Wexford","Euro Million","393.93"
"Income of Self Employed","2003","Co. Wicklow","Euro Million","321.65"
"Income of Self Employed","2004","Ireland","Euro Million","11892.12"
"Income of Self Employed","2004","Co. Carlow","Euro Million","162.87"
"Income of Self Employed","2004","Co. Cavan","Euro Million","217.39"
"Income of Self Employed","2004","Co. Clare","Euro Million","312.5"
"Income of Self Employed","2004","Co. Cork","Euro Million","1567.41"
"Income of Self Employed","2004","Co. Donegal","Euro Million","338.79"
"Income of Self Employed","2004","Co. Dublin","Euro Million","2932.69"
"Income of Self Employed","2004","Co. Galway","Euro Million","640.91"
"Income of Self Employed","2004","Co. Kerry","Euro Million","506.54"
"Income of Self Employed","2004","Co. Kildare","Euro Million","427.7"
"Income of Self Employed","2004","Co. Kilkenny","Euro Million","310.73"
"Income of Self Employed","2004","Co. Laois","Euro Million","199.29"
"Income of Self Employed","2004","Co. Leitrim","Euro Million","77.15"
"Income of Self Employed","2004","Co. Limerick","Euro Million","463.11"
"Income of Self Employed","2004","Co. Longford","Euro Million","102.04"
"Income of Self Employed","2004","Co. Louth","Euro Million","241.28"
"Income of Self Employed","2004","Co. Mayo","Euro Million","372.25"
"Income of Self Employed","2004","Co. Meath","Euro Million","445.76"
"Income of Self Employed","2004","Co. Monaghan","Euro Million","177.4"
"Income of Self Employed","2004","Co. Offaly","Euro Million","200.83"
"Income of Self Employed","2004","Co. Roscommon","Euro Million","163.24"
"Income of Self Employed","2004","Co. Sligo","Euro Million","149.47"
"Income of Self Employed","2004","Co. Tipperary","Euro Million","560.28"
"Income of Self Employed","2004","Co. Waterford","Euro Million","310.3"
"Income of Self Employed","2004","Co. Westmeath","Euro Million","229.81"
"Income of Self Employed","2004","Co. Wexford","Euro Million","433.26"
"Income of Self Employed","2004","Co. Wicklow","Euro Million","349.12"
"Income of Self Employed","2005","Ireland","Euro Million","13522.61"
"Income of Self Employed","2005","Co. Carlow","Euro Million","184.32"
"Income of Self Employed","2005","Co. Cavan","Euro Million","243.39"
"Income of Self Employed","2005","Co. Clare","Euro Million","364.65"
"Income of Self Employed","2005","Co. Cork","Euro Million","1762.65"
"Income of Self Employed","2005","Co. Donegal","Euro Million","375.23"
"Income of Self Employed","2005","Co. Dublin","Euro Million","3417.94"
"Income of Self Employed","2005","Co. Galway","Euro Million","715.77"
"Income of Self Employed","2005","Co. Kerry","Euro Million","570.03"
"Income of Self Employed","2005","Co. Kildare","Euro Million","504.88"
"Income of Self Employed","2005","Co. Kilkenny","Euro Million","354.62"
"Income of Self Employed","2005","Co. Laois","Euro Million","225.83"
"Income of Self Employed","2005","Co. Leitrim","Euro Million","92.95"
"Income of Self Employed","2005","Co. Limerick","Euro Million","532.73"
"Income of Self Employed","2005","Co. Longford","Euro Million","115.61"
"Income of Self Employed","2005","Co. Louth","Euro Million","281.97"
"Income of Self Employed","2005","Co. Mayo","Euro Million","383.92"
"Income of Self Employed","2005","Co. Meath","Euro Million","492.76"
"Income of Self Employed","2005","Co. Monaghan","Euro Million","192.81"
"Income of Self Employed","2005","Co. Offaly","Euro Million","220.1"
"Income of Self Employed","2005","Co. Roscommon","Euro Million","190.87"
"Income of Self Employed","2005","Co. Sligo","Euro Million","170.31"
"Income of Self Employed","2005","Co. Tipperary","Euro Million","618.66"
"Income of Self Employed","2005","Co. Waterford","Euro Million","357.53"
"Income of Self Employed","2005","Co. Westmeath","Euro Million","264.07"
"Income of Self Employed","2005","Co. Wexford","Euro Million","481.71"
"Income of Self Employed","2005","Co. Wicklow","Euro Million","407.31"
"Income of Self Employed","2006","Ireland","Euro Million","14174.22"
"Income of Self Employed","2006","Co. Carlow","Euro Million","199.98"
"Income of Self Employed","2006","Co. Cavan","Euro Million","261.71"
"Income of Self Employed","2006","Co. Clare","Euro Million","363.31"
"Income of Self Employed","2006","Co. Cork","Euro Million","1874"
"Income of Self Employed","2006","Co. Donegal","Euro Million","406.48"
"Income of Self Employed","2006","Co. Dublin","Euro Million","3566"
"Income of Self Employed","2006","Co. Galway","Euro Million","757.55"
"Income of Self Employed","2006","Co. Kerry","Euro Million","606.96"
"Income of Self Employed","2006","Co. Kildare","Euro Million","515.27"
"Income of Self Employed","2006","Co. Kilkenny","Euro Million","356.74"
"Income of Self Employed","2006","Co. Laois","Euro Million","231.42"
"Income of Self Employed","2006","Co. Leitrim","Euro Million","89.69"
"Income of Self Employed","2006","Co. Limerick","Euro Million","520.26"
"Income of Self Employed","2006","Co. Longford","Euro Million","120.84"
"Income of Self Employed","2006","Co. Louth","Euro Million","288.47"
"Income of Self Employed","2006","Co. Mayo","Euro Million","373.93"
"Income of Self Employed","2006","Co. Meath","Euro Million","557.94"
"Income of Self Employed","2006","Co. Monaghan","Euro Million","215.95"
"Income of Self Employed","2006","Co. Offaly","Euro Million","237.58"
"Income of Self Employed","2006","Co. Roscommon","Euro Million","197.31"
"Income of Self Employed","2006","Co. Sligo","Euro Million","174.96"
"Income of Self Employed","2006","Co. Tipperary","Euro Million","660.97"
"Income of Self Employed","2006","Co. Waterford","Euro Million","371.59"
"Income of Self Employed","2006","Co. Westmeath","Euro Million","279.65"
"Income of Self Employed","2006","Co. Wexford","Euro Million","525.38"
"Income of Self Employed","2006","Co. Wicklow","Euro Million","420.27"
"Income of Self Employed","2007","Ireland","Euro Million","15541.31"
"Income of Self Employed","2007","Co. Carlow","Euro Million","207.86"
"Income of Self Employed","2007","Co. Cavan","Euro Million","285.4"
"Income of Self Employed","2007","Co. Clare","Euro Million","408.01"
"Income of Self Employed","2007","Co. Cork","Euro Million","2062.77"
"Income of Self Employed","2007","Co. Donegal","Euro Million","450.39"
"Income of Self Employed","2007","Co. Dublin","Euro Million","3675.44"
"Income of Self Employed","2007","Co. Galway","Euro Million","857.63"
"Income of Self Employed","2007","Co. Kerry","Euro Million","664.87"
"Income of Self Employed","2007","Co. Kildare","Euro Million","534.2"
"Income of Self Employed","2007","Co. Kilkenny","Euro Million","418.43"
"Income of Self Employed","2007","Co. Laois","Euro Million","267.57"
"Income of Self Employed","2007","Co. Leitrim","Euro Million","97.74"
"Income of Self Employed","2007","Co. Limerick","Euro Million","630.74"
"Income of Self Employed","2007","Co. Longford","Euro Million","134.56"
"Income of Self Employed","2007","Co. Louth","Euro Million","306.57"
"Income of Self Employed","2007","Co. Mayo","Euro Million","597.34"
"Income of Self Employed","2007","Co. Meath","Euro Million","570.31"
"Income of Self Employed","2007","Co. Monaghan","Euro Million","236.55"
"Income of Self Employed","2007","Co. Offaly","Euro Million","272.85"
"Income of Self Employed","2007","Co. Roscommon","Euro Million","205.14"
"Income of Self Employed","2007","Co. Sligo","Euro Million","198.16"
"Income of Self Employed","2007","Co. Tipperary","Euro Million","758.11"
"Income of Self Employed","2007","Co. Waterford","Euro Million","399.07"
"Income of Self Employed","2007","Co. Westmeath","Euro Million","291.71"
"Income of Self Employed","2007","Co. Wexford","Euro Million","568.49"
"Income of Self Employed","2007","Co. Wicklow","Euro Million","441.38"
"Income of Self Employed","2008","Ireland","Euro Million","14891.55"
"Income of Self Employed","2008","Co. Carlow","Euro Million","208.72"
"Income of Self Employed","2008","Co. Cavan","Euro Million","278.76"
"Income of Self Employed","2008","Co. Clare","Euro Million","395.82"
"Income of Self Employed","2008","Co. Cork","Euro Million","2002.78"
"Income of Self Employed","2008","Co. Donegal","Euro Million","434.25"
"Income of Self Employed","2008","Co. Dublin","Euro Million","3559.55"
"Income of Self Employed","2008","Co. Galway","Euro Million","819.61"
"Income of Self Employed","2008","Co. Kerry","Euro Million","639.81"
"Income of Self Employed","2008","Co. Kildare","Euro Million","551.97"
"Income of Self Employed","2008","Co. Kilkenny","Euro Million","411.64"
"Income of Self Employed","2008","Co. Laois","Euro Million","259.79"
"Income of Self Employed","2008","Co. Leitrim","Euro Million","92.6"
"Income of Self Employed","2008","Co. Limerick","Euro Million","618"
"Income of Self Employed","2008","Co. Longford","Euro Million","127.17"
"Income of Self Employed","2008","Co. Louth","Euro Million","289.57"
"Income of Self Employed","2008","Co. Mayo","Euro Million","403.29"
"Income of Self Employed","2008","Co. Meath","Euro Million","545.57"
"Income of Self Employed","2008","Co. Monaghan","Euro Million","230.08"
"Income of Self Employed","2008","Co. Offaly","Euro Million","257.59"
"Income of Self Employed","2008","Co. Roscommon","Euro Million","195.34"
"Income of Self Employed","2008","Co. Sligo","Euro Million","190.74"
"Income of Self Employed","2008","Co. Tipperary","Euro Million","765.55"
"Income of Self Employed","2008","Co. Waterford","Euro Million","379.81"
"Income of Self Employed","2008","Co. Westmeath","Euro Million","275.96"
"Income of Self Employed","2008","Co. Wexford","Euro Million","535.18"
"Income of Self Employed","2008","Co. Wicklow","Euro Million","422.4"
"Income of Self Employed","2009","Ireland","Euro Million","12063.3"
"Income of Self Employed","2009","Co. Carlow","Euro Million","159.19"
"Income of Self Employed","2009","Co. Cavan","Euro Million","222.73"
"Income of Self Employed","2009","Co. Clare","Euro Million","321.92"
"Income of Self Employed","2009","Co. Cork","Euro Million","1643.48"
"Income of Self Employed","2009","Co. Donegal","Euro Million","370.69"
"Income of Self Employed","2009","Co. Dublin","Euro Million","2862.22"
"Income of Self Employed","2009","Co. Galway","Euro Million","728.56"
"Income of Self Employed","2009","Co. Kerry","Euro Million","505.96"
"Income of Self Employed","2009","Co. Kildare","Euro Million","409.44"
"Income of Self Employed","2009","Co. Kilkenny","Euro Million","344.6"
"Income of Self Employed","2009","Co. Laois","Euro Million","205.91"
"Income of Self Employed","2009","Co. Leitrim","Euro Million","76.89"
"Income of Self Employed","2009","Co. Limerick","Euro Million","484.71"
"Income of Self Employed","2009","Co. Longford","Euro Million","97.8"
"Income of Self Employed","2009","Co. Louth","Euro Million","232.21"
"Income of Self Employed","2009","Co. Mayo","Euro Million","332.48"
"Income of Self Employed","2009","Co. Meath","Euro Million","423.63"
"Income of Self Employed","2009","Co. Monaghan","Euro Million","182.79"
"Income of Self Employed","2009","Co. Offaly","Euro Million","215.71"
"Income of Self Employed","2009","Co. Roscommon","Euro Million","167.42"
"Income of Self Employed","2009","Co. Sligo","Euro Million","166.54"
"Income of Self Employed","2009","Co. Tipperary","Euro Million","617.21"
"Income of Self Employed","2009","Co. Waterford","Euro Million","304.23"
"Income of Self Employed","2009","Co. Westmeath","Euro Million","227.04"
"Income of Self Employed","2009","Co. Wexford","Euro Million","426.61"
"Income of Self Employed","2009","Co. Wicklow","Euro Million","333.34"
"Income of Self Employed","2010","Ireland","Euro Million","11508.19"
"Income of Self Employed","2010","Co. Carlow","Euro Million","144.73"
"Income of Self Employed","2010","Co. Cavan","Euro Million","225.73"
"Income of Self Employed","2010","Co. Clare","Euro Million","305.04"
"Income of Self Employed","2010","Co. Cork","Euro Million","1603.68"
"Income of Self Employed","2010","Co. Donegal","Euro Million","341.13"
"Income of Self Employed","2010","Co. Dublin","Euro Million","2689.11"
"Income of Self Employed","2010","Co. Galway","Euro Million","641.86"
"Income of Self Employed","2010","Co. Kerry","Euro Million","511.56"
"Income of Self Employed","2010","Co. Kildare","Euro Million","392.85"
"Income of Self Employed","2010","Co. Kilkenny","Euro Million","317.99"
"Income of Self Employed","2010","Co. Laois","Euro Million","203.65"
"Income of Self Employed","2010","Co. Leitrim","Euro Million","74.05"
"Income of Self Employed","2010","Co. Limerick","Euro Million","485.93"
"Income of Self Employed","2010","Co. Longford","Euro Million","98.6"
"Income of Self Employed","2010","Co. Louth","Euro Million","222.19"
"Income of Self Employed","2010","Co. Mayo","Euro Million","328.41"
"Income of Self Employed","2010","Co. Meath","Euro Million","388.95"
"Income of Self Employed","2010","Co. Monaghan","Euro Million","181.67"
"Income of Self Employed","2010","Co. Offaly","Euro Million","200.7"
"Income of Self Employed","2010","Co. Roscommon","Euro Million","163.25"
"Income of Self Employed","2010","Co. Sligo","Euro Million","151.83"
"Income of Self Employed","2010","Co. Tipperary","Euro Million","603.88"
"Income of Self Employed","2010","Co. Waterford","Euro Million","294.26"
"Income of Self Employed","2010","Co. Westmeath","Euro Million","225.46"
"Income of Self Employed","2010","Co. Wexford","Euro Million","403.07"
"Income of Self Employed","2010","Co. Wicklow","Euro Million","308.62"
"Income of Self Employed","2011","Ireland","Euro Million","11611.12"
"Income of Self Employed","2011","Co. Carlow","Euro Million","164.93"
"Income of Self Employed","2011","Co. Cavan","Euro Million","228"
"Income of Self Employed","2011","Co. Clare","Euro Million","306.68"
"Income of Self Employed","2011","Co. Cork","Euro Million","1617.88"
"Income of Self Employed","2011","Co. Donegal","Euro Million","328.37"
"Income of Self Employed","2011","Co. Dublin","Euro Million","2523.76"
"Income of Self Employed","2011","Co. Galway","Euro Million","621.83"
"Income of Self Employed","2011","Co. Kerry","Euro Million","508.9"
"Income of Self Employed","2011","Co. Kildare","Euro Million","375.96"
"Income of Self Employed","2011","Co. Kilkenny","Euro Million","322.97"
"Income of Self Employed","2011","Co. Laois","Euro Million","206.4"
"Income of Self Employed","2011","Co. Leitrim","Euro Million","75.58"
"Income of Self Employed","2011","Co. Limerick","Euro Million","480.29"
"Income of Self Employed","2011","Co. Longford","Euro Million","103.43"
"Income of Self Employed","2011","Co. Louth","Euro Million","216.71"
"Income of Self Employed","2011","Co. Mayo","Euro Million","322.62"
"Income of Self Employed","2011","Co. Meath","Euro Million","384.32"
"Income of Self Employed","2011","Co. Monaghan","Euro Million","443.9"
"Income of Self Employed","2011","Co. Offaly","Euro Million","202.05"
"Income of Self Employed","2011","Co. Roscommon","Euro Million","168.19"
"Income of Self Employed","2011","Co. Sligo","Euro Million","165.63"
"Income of Self Employed","2011","Co. Tipperary","Euro Million","614.14"
"Income of Self Employed","2011","Co. Waterford","Euro Million","287.37"
"Income of Self Employed","2011","Co. Westmeath","Euro Million","226.52"
"Income of Self Employed","2011","Co. Wexford","Euro Million","411.97"
"Income of Self Employed","2011","Co. Wicklow","Euro Million","302.74"
"Income of Self Employed","2012","Ireland","Euro Million","10670.89"
"Income of Self Employed","2012","Co. Carlow","Euro Million","156.1"
"Income of Self Employed","2012","Co. Cavan","Euro Million","221.45"
"Income of Self Employed","2012","Co. Clare","Euro Million","499.54"
"Income of Self Employed","2012","Co. Cork","Euro Million","1526.5"
"Income of Self Employed","2012","Co. Donegal","Euro Million","297.86"
"Income of Self Employed","2012","Co. Dublin","Euro Million","2176.59"
"Income of Self Employed","2012","Co. Galway","Euro Million","570.04"
"Income of Self Employed","2012","Co. Kerry","Euro Million","456.33"
"Income of Self Employed","2012","Co. Kildare","Euro Million","343.09"
"Income of Self Employed","2012","Co. Kilkenny","Euro Million","316.51"
"Income of Self Employed","2012","Co. Laois","Euro Million","196.62"
"Income of Self Employed","2012","Co. Leitrim","Euro Million","72.68"
"Income of Self Employed","2012","Co. Limerick","Euro Million","443.9"
"Income of Self Employed","2012","Co. Longford","Euro Million","96.9"
"Income of Self Employed","2012","Co. Louth","Euro Million","195.31"
"Income of Self Employed","2012","Co. Mayo","Euro Million","300.16"
"Income of Self Employed","2012","Co. Meath","Euro Million","362.44"
"Income of Self Employed","2012","Co. Monaghan","Euro Million","182.6"
"Income of Self Employed","2012","Co. Offaly","Euro Million","190.79"
"Income of Self Employed","2012","Co. Roscommon","Euro Million","163.91"
"Income of Self Employed","2012","Co. Sligo","Euro Million","129.32"
"Income of Self Employed","2012","Co. Tipperary","Euro Million","586.04"
"Income of Self Employed","2012","Co. Waterford","Euro Million","315.05"
"Income of Self Employed","2012","Co. Westmeath","Euro Million","211.53"
"Income of Self Employed","2012","Co. Wexford","Euro Million","386.44"
"Income of Self Employed","2012","Co. Wicklow","Euro Million","273.16"
"Income of Self Employed","2013","Ireland","Euro Million","10505.5"
"Income of Self Employed","2013","Co. Carlow","Euro Million","156.87"
"Income of Self Employed","2013","Co. Cavan","Euro Million","218.7"
"Income of Self Employed","2013","Co. Clare","Euro Million","285.49"
"Income of Self Employed","2013","Co. Cork","Euro Million","1514.7"
"Income of Self Employed","2013","Co. Donegal","Euro Million","292.1"
"Income of Self Employed","2013","Co. Dublin","Euro Million","2251.49"
"Income of Self Employed","2013","Co. Galway","Euro Million","558.87"
"Income of Self Employed","2013","Co. Kerry","Euro Million","454.07"
"Income of Self Employed","2013","Co. Kildare","Euro Million","353.51"
"Income of Self Employed","2013","Co. Kilkenny","Euro Million","324.3"
"Income of Self Employed","2013","Co. Laois","Euro Million","195.57"
"Income of Self Employed","2013","Co. Leitrim","Euro Million","71.33"
"Income of Self Employed","2013","Co. Limerick","Euro Million","451.52"
"Income of Self Employed","2013","Co. Longford","Euro Million","96.81"
"Income of Self Employed","2013","Co. Louth","Euro Million","191.95"
"Income of Self Employed","2013","Co. Mayo","Euro Million","292.05"
"Income of Self Employed","2013","Co. Meath","Euro Million","368.42"
"Income of Self Employed","2013","Co. Monaghan","Euro Million","179.88"
"Income of Self Employed","2013","Co. Offaly","Euro Million","188.13"
"Income of Self Employed","2013","Co. Roscommon","Euro Million","158.87"
"Income of Self Employed","2013","Co. Sligo","Euro Million","128.07"
"Income of Self Employed","2013","Co. Tipperary","Euro Million","599.58"
"Income of Self Employed","2013","Co. Waterford","Euro Million","272.56"
"Income of Self Employed","2013","Co. Westmeath","Euro Million","214.85"
"Income of Self Employed","2013","Co. Wexford","Euro Million","399.9"
"Income of Self Employed","2013","Co. Wicklow","Euro Million","285.94"
"Income of Self Employed","2014","Ireland","Euro Million","11165.94"
"Income of Self Employed","2014","Co. Carlow","Euro Million","183.65"
"Income of Self Employed","2014","Co. Cavan","Euro Million","235.98"
"Income of Self Employed","2014","Co. Clare","Euro Million","304.83"
